date,time,accel_X,accel_Y,accel_Z,test #1 with camera recording
7/13/20,22:00:59,1023,,,
7/13/20,22:00:59,1023,,,
7/13/20,22:00:59,248,,,
7/13/20,22:00:59,1,,,
7/13/20,22:00:59,185,,,
7/13/20,22:00:59,0,,,
7/13/20,22:00:59,0,,,
7/13/20,22:00:59,0,,,
7/13/20,22:00:59,0,,,
7/13/20,22:00:59,0,,,
7/13/20,22:00:59,0,,,
7/13/20,22:00:59,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:00,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:01,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:02,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:03,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:04,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:05,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:06,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:07,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:08,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:09,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:10,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:11,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:12,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:13,0,,,
7/13/20,22:01:14,0,,,
7/13/20,22:01:14,0,,,
7/13/20,22:01:14,0,,,
7/13/20,22:01:14,0,,,
7/13/20,22:01:14,0,,,
7/13/20,22:01:14,0,,,
7/13/20,22:01:14,0,,,
7/13/20,22:01:14,0,,,
7/13/20,22:01:14,0,,,
