date,time,accel_Z,accel_Y,accel_X
1-28-2021,23:1:33,51,58,65
1-28-2021,23:1:34,28,31,43
1-28-2021,23:1:34,39,41,52
1-28-2021,23:1:34,62,65,76
1-28-2021,23:1:34,64,66,79
1-28-2021,23:1:35,110,113,136
1-28-2021,23:1:35,62,64,77
1-28-2021,23:1:35,55,58,72
1-28-2021,23:1:35,77,81,99
1-28-2021,23:1:35,68,71,87
1-28-2021,23:1:36,66,69,85
1-28-2021,23:1:36,60,63,75
1-28-2021,23:1:36,19,21,28
1-28-2021,23:1:36,39,41,53
1-28-2021,23:1:39,48,51,62
1-28-2021,23:1:39,52,54,64
1-28-2021,23:1:40,52,54,64
1-28-2021,23:1:40,73,75,86
1-28-2021,23:1:40,82,84,96
1-28-2021,23:1:40,22,24,29
1-28-2021,23:1:41,48,51,60
1-28-2021,23:1:41,25,23,25
1-28-2021,23:1:41,-2,-1,6
1-28-2021,23:1:41,-2,-4,6
1-28-2021,23:1:42,27,30,29
1-28-2021,23:1:42,14,15,18
1-28-2021,23:1:42,-3,0,-2
1-28-2021,23:1:42,-1,-1,5
1-28-2021,23:1:43,13,15,18
1-28-2021,23:1:43,10,13,15
1-28-2021,23:1:43,15,18,20
1-28-2021,23:1:43,20,23,25
1-28-2021,23:1:44,13,15,19
1-28-2021,23:1:44,21,24,29
1-28-2021,23:1:44,22,25,29
1-28-2021,23:1:44,24,26,26
1-28-2021,23:1:45,-10,-6,-2
1-28-2021,23:1:45,7,3,0
1-28-2021,23:1:45,-20,-17,-14
1-28-2021,23:1:45,35,38,42
1-28-2021,23:1:46,-6,-3,-4
1-28-2021,23:1:46,6,9,6
1-28-2021,23:1:46,-14,-13,-12
1-28-2021,23:1:47,-1,2,1
1-28-2021,23:1:47,4,2,3
1-28-2021,23:1:47,-4,-4,-2
1-28-2021,23:1:47,-10,-11,-7
