date,time,accel_Z,accel_Y,accel_X
1-29-2021,0:43:58,2,6,0
1-29-2021,0:43:58,9,12,16
1-29-2021,0:43:58,-31,-15,-12
1-29-2021,0:43:59,-73,-73,-50
1-29-2021,0:43:59,-72,-70,-425
1-29-2021,0:43:59,-166,-243,-231
1-29-2021,0:43:59,-63,-60,-288
1-29-2021,0:43:59,-56,-90,-293
1-29-2021,0:44:0,-133,-138,-92
1-29-2021,0:44:0,-150,-159,-30
1-29-2021,0:44:0,-243,-321,-197
1-29-2021,0:44:0,-96,-237,-326
1-29-2021,0:44:0,6,-92,-346
1-29-2021,0:44:1,55,-40,-248
1-29-2021,0:44:1,-34,-67,-310
1-29-2021,0:44:1,-61,-97,-230
1-29-2021,0:44:1,-78,-107,-246
1-29-2021,0:44:1,-118,-158,-142
1-29-2021,0:44:2,-165,-245,-117
1-29-2021,0:44:2,-161,-224,-164
1-29-2021,0:44:2,-132,-215,-241
1-29-2021,0:44:2,-30,-35,-189
1-29-2021,0:44:2,-43,-41,-191
1-29-2021,0:44:3,-35,-32,-170
1-29-2021,0:44:3,-69,-66,-206
1-29-2021,0:44:3,-109,-106,-244
1-29-2021,0:44:3,-156,-153,-328
1-29-2021,0:44:3,-218,-312,-158
1-29-2021,0:44:4,-167,-294,-115
1-29-2021,0:44:4,-98,-101,-335
1-29-2021,0:44:4,16,18,-316
1-29-2021,0:44:4,70,-111,-287
1-29-2021,0:44:5,-40,-65,-218
1-29-2021,0:44:5,-41,-35,-233
1-29-2021,0:44:5,-53,-51,-314
1-29-2021,0:44:5,-86,-125,-295
1-29-2021,0:44:6,-159,-158,-245
1-29-2021,0:44:6,-218,-277,-128
1-29-2021,0:44:6,-162,-163,-172
1-29-2021,0:44:6,20,-171,-371
1-29-2021,0:44:7,-56,-145,-177
1-29-2021,0:44:7,50,-25,-196
1-29-2021,0:44:7,58,-6,-207
1-29-2021,0:44:7,-4,-16,-241
1-29-2021,0:44:8,-44,-57,-164
1-29-2021,0:44:8,-129,-112,-394
1-29-2021,0:44:8,-195,-222,-311
1-29-2021,0:44:8,-172,-242,-171
1-29-2021,0:44:9,-137,-162,-60
1-29-2021,0:44:9,-36,-57,-174
1-29-2021,0:44:9,-127,-136,-105
1-29-2021,0:44:9,9,10,13
1-29-2021,0:44:10,-25,-27,63
1-29-2021,0:44:10,-65,-61,135
1-29-2021,0:44:10,11,12,-8
1-29-2021,0:44:11,30,-13,21
1-29-2021,0:44:11,7,9,29
1-29-2021,0:44:11,-1,2,-3
1-29-2021,0:44:11,5,8,2
1-29-2021,0:44:12,11,13,14
1-29-2021,0:44:12,1,3,7
1-29-2021,0:44:12,-1,1,1
1-29-2021,0:44:12,0,2,4
1-29-2021,0:44:13,-2,1,2
1-29-2021,0:44:13,1,3,4
1-29-2021,0:44:13,2,4,9
1-29-2021,0:44:14,1,3,6
1-29-2021,0:44:14,5,6,6
1-29-2021,0:44:14,1,3,7
1-29-2021,0:44:14,1,3,7
1-29-2021,0:44:15,14,16,15
1-29-2021,0:44:15,3,4,9
1-29-2021,0:44:15,3,4,7
1-29-2021,0:44:16,-7,-7,2
1-29-2021,0:44:16,-5,-5,1
1-29-2021,0:44:16,2,3,7
1-29-2021,0:44:16,5,5,8
1-29-2021,0:44:17,4,4,9
