date,time,accel_Z,accel_Y,accel_X
8-19-2020,12:18:53,4,8,9
8-19-2020,12:18:53,3,8,9
8-19-2020,12:18:53,3,7,8
8-19-2020,12:18:53,-5,-1,0
8-19-2020,12:18:54,-6,-1,2
8-19-2020,12:18:54,-4,1,3
8-19-2020,12:18:54,-5,-1,2
8-19-2020,12:18:54,0,5,14
8-19-2020,12:18:54,-5,0,6
8-19-2020,12:18:54,-2,3,8
8-19-2020,12:18:54,-2,3,5
8-19-2020,12:18:54,-2,3,2
8-19-2020,12:18:55,-1,4,2
8-19-2020,12:18:55,-2,3,3
8-19-2020,12:18:55,-1,3,5
8-19-2020,12:18:55,-1,3,5
8-19-2020,12:18:55,-1,4,5
8-19-2020,12:18:55,-2,3,5
8-19-2020,12:18:55,-1,3,4
8-19-2020,12:18:55,-2,2,3
8-19-2020,12:18:56,-1,3,4
8-19-2020,12:18:56,-1,4,-1
8-19-2020,12:18:56,-6,-2,1
8-19-2020,12:18:56,4,9,12
8-19-2020,12:18:56,9,13,-31
8-19-2020,12:18:56,-12,-7,10
8-19-2020,12:18:56,-70,-65,36
8-19-2020,12:18:56,-50,-45,34
8-19-2020,12:18:57,-42,-37,-21
8-19-2020,12:18:57,-2,2,2
8-19-2020,12:18:57,-14,-11,-28
8-19-2020,12:18:57,-6,-2,3
8-19-2020,12:18:57,-6,-2,5
8-19-2020,12:18:57,-6,-2,10
8-19-2020,12:18:57,-5,-1,6
8-19-2020,12:18:57,-13,-9,-2
8-19-2020,12:18:58,-10,-5,-2
8-19-2020,12:18:58,-9,-5,2
8-19-2020,12:18:58,-8,-4,1
8-19-2020,12:18:58,-8,-4,2
8-19-2020,12:18:58,-9,-4,3
8-19-2020,12:18:58,-9,-4,0
8-19-2020,12:18:58,-9,-4,3
8-19-2020,12:18:58,-8,-3,1
8-19-2020,12:18:59,-8,-3,2
8-19-2020,12:18:59,-8,-4,2
8-19-2020,12:18:59,-8,-4,1
8-19-2020,12:18:59,-8,-4,2
8-19-2020,12:18:59,-8,-4,2
8-19-2020,12:18:59,-9,-4,1
8-19-2020,12:18:59,-7,-3,2
8-19-2020,12:18:59,-5,0,20
8-19-2020,12:19:0,-5,-1,-9
8-19-2020,12:19:0,-6,-1,12
8-19-2020,12:19:0,-3,2,-6
8-19-2020,12:19:0,-9,-4,2
8-19-2020,12:19:0,-5,-1,6
8-19-2020,12:19:0,-3,2,-14
8-19-2020,12:19:0,22,26,-14
8-19-2020,12:19:0,25,30,-58
8-19-2020,12:19:1,51,56,-94
8-19-2020,12:19:1,133,139,-14
8-19-2020,12:19:1,228,233,156
8-19-2020,12:19:1,229,234,278
8-19-2020,12:19:1,148,152,233
8-19-2020,12:19:1,75,79,131
8-19-2020,12:19:1,31,34,45
8-19-2020,12:19:1,36,40,52
8-19-2020,12:19:2,27,31,51
8-19-2020,12:19:2,14,19,33
8-19-2020,12:19:2,10,14,35
8-19-2020,12:19:2,7,12,37
8-19-2020,12:19:2,4,8,34
8-19-2020,12:19:2,8,13,27
8-19-2020,12:19:2,10,15,28
8-19-2020,12:19:2,5,9,18
8-19-2020,12:19:3,7,11,24
8-19-2020,12:19:3,8,13,22
8-19-2020,12:19:3,5,9,21
8-19-2020,12:19:3,6,10,19
8-19-2020,12:19:3,7,11,19
8-19-2020,12:19:3,7,12,19
8-19-2020,12:19:3,5,9,18
8-19-2020,12:19:3,9,13,20
8-19-2020,12:19:4,11,15,18
8-19-2020,12:19:4,11,15,19
8-19-2020,12:19:4,13,17,17
8-19-2020,12:19:4,13,17,20
8-19-2020,12:19:4,11,16,20
8-19-2020,12:19:4,9,14,20
8-19-2020,12:19:4,10,14,22
8-19-2020,12:19:4,-4,1,9
8-19-2020,12:19:5,9,13,17
8-19-2020,12:19:5,11,15,21
8-19-2020,12:19:5,13,18,22
8-19-2020,12:19:5,15,19,28
8-19-2020,12:19:5,15,20,37
8-19-2020,12:19:5,23,27,45
8-19-2020,12:19:5,32,36,72
8-19-2020,12:19:5,71,74,155
8-19-2020,12:19:6,77,81,212
8-19-2020,12:19:6,160,164,273
8-19-2020,12:19:6,170,175,252
8-19-2020,12:19:6,190,196,192
8-19-2020,12:19:6,133,138,-5
8-19-2020,12:19:6,117,122,-40
8-19-2020,12:19:6,115,119,-42
8-19-2020,12:19:6,72,76,-5
8-19-2020,12:19:7,14,19,-2
8-19-2020,12:19:7,19,23,-3
8-19-2020,12:19:7,12,17,27
8-19-2020,12:19:7,14,18,25
8-19-2020,12:19:7,1,5,4
8-19-2020,12:19:7,-1,4,8
8-19-2020,12:19:7,-12,-8,-12
8-19-2020,12:19:8,-6,-1,41
8-19-2020,12:19:8,-1,4,14
8-19-2020,12:19:8,2,7,-4
8-19-2020,12:19:8,3,7,-2
8-19-2020,12:19:8,4,8,1
8-19-2020,12:19:8,3,8,4
8-19-2020,12:19:8,3,8,5
8-19-2020,12:19:8,2,6,5
8-19-2020,12:19:9,3,8,7
8-19-2020,12:19:9,3,8,7
8-19-2020,12:19:9,3,7,8
8-19-2020,12:19:9,3,7,8
8-19-2020,12:19:9,3,8,9
8-19-2020,12:19:9,3,7,8
8-19-2020,12:19:9,3,8,8
8-19-2020,12:19:9,3,8,8
8-19-2020,12:19:10,2,7,8
8-19-2020,12:19:10,3,7,8
8-19-2020,12:19:10,3,7,8
8-19-2020,12:19:10,3,7,8
8-19-2020,12:19:10,2,7,8
8-19-2020,12:19:10,3,7,8
8-19-2020,12:19:10,3,8,8
8-19-2020,12:19:11,3,7,8
8-19-2020,12:19:11,3,8,9
8-19-2020,12:19:11,3,8,8
8-19-2020,12:19:11,3,7,8
8-19-2020,12:19:11,3,7,8
8-19-2020,12:19:11,3,8,8
8-19-2020,12:19:11,3,7,8
