date,time,accel_Z,accel_Y,accel_X
8-19-2020,19:19:44,-33,44,5
8-19-2020,19:19:45,-38,39,1
8-19-2020,19:19:45,-38,39,2
8-19-2020,19:19:45,-38,39,0
8-19-2020,19:19:45,-36,41,2
8-19-2020,19:19:45,-38,39,2
8-19-2020,19:19:46,-39,38,-1
8-19-2020,19:19:46,-37,38,3
8-19-2020,19:19:46,-35,35,6
8-19-2020,19:19:46,-36,41,7
8-19-2020,19:19:46,-39,40,3
8-19-2020,19:19:47,-38,40,3
8-19-2020,19:19:47,-38,40,6
8-19-2020,19:19:47,-38,40,6
8-19-2020,19:19:47,-38,39,5
8-19-2020,19:19:47,-35,41,12
8-19-2020,19:19:48,-35,42,9
8-19-2020,19:19:48,-35,43,10
8-19-2020,19:19:48,-34,43,9
8-19-2020,19:19:48,-34,43,11
8-19-2020,19:19:48,-35,42,10
8-19-2020,19:19:49,-35,43,10
8-19-2020,19:19:49,-35,42,9
8-19-2020,19:19:49,-35,42,10
8-19-2020,19:19:49,-35,42,8
8-19-2020,19:19:50,-35,42,8
8-19-2020,19:19:50,-35,41,10
8-19-2020,19:19:50,-35,42,8
8-19-2020,19:19:50,-34,43,11
8-19-2020,19:19:50,-34,43,9
8-19-2020,19:19:51,-39,39,7
8-19-2020,19:19:51,-37,41,11
8-19-2020,19:19:51,-4,7,6
8-19-2020,19:19:51,11,8,7
8-19-2020,19:19:52,-33,37,-3
8-19-2020,19:19:52,-49,29,2
8-19-2020,19:19:52,-187,-110,-169
8-19-2020,19:19:52,-93,-15,-73
8-19-2020,19:19:53,-121,-73,3
8-19-2020,19:19:53,-133,-247,-196
8-19-2020,19:19:53,-2,-2,-382
8-19-2020,19:19:54,228,307,-425
8-19-2020,19:19:54,-33,43,-392
8-19-2020,19:19:54,6,85,64
8-19-2020,19:19:55,-34,45,39
8-19-2020,19:19:55,-30,49,0
8-19-2020,19:19:55,-45,34,7
8-19-2020,19:19:56,-35,44,7
8-19-2020,19:19:56,-39,40,-5
8-19-2020,19:19:56,-33,45,19
8-19-2020,19:19:57,-37,42,2
8-19-2020,19:19:57,-36,43,3
8-19-2020,19:19:57,-36,43,5
8-19-2020,19:19:58,-37,42,3
8-19-2020,19:19:58,-36,43,6
8-19-2020,19:19:58,-36,42,1
8-19-2020,19:19:59,-36,42,4
8-19-2020,19:19:59,-37,41,6
8-19-2020,19:19:59,-37,42,4
8-19-2020,19:20:0,-36,42,6
8-19-2020,19:20:0,-36,42,5
8-19-2020,19:20:0,-37,42,5
8-19-2020,19:20:1,-37,42,6
8-19-2020,19:20:1,-37,42,4
8-19-2020,19:20:1,-37,42,4
8-19-2020,19:20:2,-38,41,6
8-19-2020,19:20:2,-37,41,4
8-19-2020,19:20:3,-37,41,4
8-19-2020,19:20:3,-37,41,5
8-19-2020,19:20:3,-37,42,5
8-19-2020,19:20:4,-38,40,4
8-19-2020,19:20:4,-37,42,5
8-19-2020,19:20:4,-37,41,2
8-19-2020,19:20:5,-37,41,3
8-19-2020,19:20:5,-38,41,5
8-19-2020,19:20:6,-37,41,4
8-19-2020,19:20:6,-39,40,4
8-19-2020,19:20:6,-39,40,5
8-19-2020,19:20:7,-40,39,-2
8-19-2020,19:20:7,-37,41,4
8-19-2020,19:20:7,-37,41,4
8-19-2020,19:20:8,-36,42,1
8-19-2020,19:20:8,-36,43,8
8-19-2020,19:20:8,-37,41,2
8-19-2020,19:20:9,-36,42,3
8-19-2020,19:20:9,-37,42,3
8-19-2020,19:20:10,-37,41,1
8-19-2020,19:20:10,-40,38,-2
