date,time,accel_Z,accel_Y,accel_X
8-19-2020,15:49:54,7,49,
8-19-2020,15:49:54,130,72,
8-19-2020,15:49:55,123,109,
8-19-2020,15:49:55,92,42,
8-19-2020,15:49:55,127,129,
8-19-2020,15:49:55,103,169,
8-19-2020,15:49:55,160,133,
8-19-2020,15:49:55,16,135,
8-19-2020,15:49:55,112,67,
8-19-2020,15:49:55,179,149,
8-19-2020,15:49:55,167,72,
8-19-2020,15:49:55,85,145,
8-19-2020,15:49:56,194,157,
8-19-2020,15:49:56,108,144,
8-19-2020,15:49:56,124,196,
8-19-2020,15:49:56,122,66,
8-19-2020,15:49:56,1,53,
8-19-2020,15:49:56,28,133,
8-19-2020,15:49:56,35,13,
8-19-2020,15:49:56,63,136,
8-19-2020,15:49:56,115,94,
8-19-2020,15:49:56,117,195,
8-19-2020,15:49:57,51,98,
8-19-2020,15:49:57,105,82,
8-19-2020,15:49:57,116,137,
8-19-2020,15:49:57,101,97,
8-19-2020,15:49:57,137,158,
8-19-2020,15:49:57,94,104,
8-19-2020,15:49:57,145,175,
8-19-2020,15:49:57,142,199,
8-19-2020,15:49:57,60,157,
8-19-2020,15:49:57,195,168,
8-19-2020,15:49:58,6,162,
8-19-2020,15:49:58,82,52,
8-19-2020,15:49:58,95,112,
8-19-2020,15:49:58,190,31,
8-19-2020,15:49:58,16,190,
