date,time,accel_Z,accel_Y,accel_X
8-19-2020,19:0:41,-64,15,-19
8-19-2020,19:0:41,-51,27,-7
8-19-2020,19:0:42,-67,11,-20
8-19-2020,19:0:42,-57,21,-14
8-19-2020,19:0:42,-53,25,-10
8-19-2020,19:0:42,-55,23,-12
8-19-2020,19:0:42,-46,32,-3
8-19-2020,19:0:42,-41,37,3
8-19-2020,19:0:42,-50,29,-3
8-19-2020,19:0:42,-39,39,5
8-19-2020,19:0:42,-40,39,0
8-19-2020,19:0:42,-35,43,7
8-19-2020,19:0:43,-37,41,9
8-19-2020,19:0:43,-38,40,0
8-19-2020,19:0:43,-37,41,5
8-19-2020,19:0:43,-36,42,9
8-19-2020,19:0:43,-38,40,9
8-19-2020,19:0:43,-42,37,3
8-19-2020,19:0:43,-50,28,-7
8-19-2020,19:0:43,-38,40,2
8-19-2020,19:0:43,-42,36,-2
8-19-2020,19:0:43,-14,22,-15
8-19-2020,19:0:44,-7,101,0
8-19-2020,19:0:44,-13,35,-42
8-19-2020,19:0:44,-80,-50,18
8-19-2020,19:0:44,36,38,-168
8-19-2020,19:0:44,-83,-5,-116
8-19-2020,19:0:44,-26,52,1
8-19-2020,19:0:44,-30,48,-11
8-19-2020,19:0:44,-413,-345,64
8-19-2020,19:0:44,-208,-132,-427
8-19-2020,19:0:44,-41,37,-427
8-19-2020,19:0:45,-175,-98,-427
8-19-2020,19:0:45,-31,47,-427
8-19-2020,19:0:45,-88,-12,-258
8-19-2020,19:0:45,-73,3,-205
8-19-2020,19:0:45,107,187,-318
8-19-2020,19:0:45,-44,35,-36
8-19-2020,19:0:45,-47,28,-1
8-19-2020,19:0:45,-58,20,-11
8-19-2020,19:0:45,-52,26,-20
8-19-2020,19:0:45,-82,-4,-60
8-19-2020,19:0:46,63,141,-232
8-19-2020,19:0:46,-7,71,33
8-19-2020,19:0:46,-30,43,-48
8-19-2020,19:0:46,-172,-166,-15
8-19-2020,19:0:46,-25,54,-27
8-19-2020,19:0:46,-32,46,0
8-19-2020,19:0:46,-41,38,7
8-19-2020,19:0:46,-40,38,11
8-19-2020,19:0:46,-38,40,6
8-19-2020,19:0:46,-39,40,2
8-19-2020,19:0:47,-41,38,4
8-19-2020,19:0:47,-40,39,-2
8-19-2020,19:0:47,-44,35,-2
8-19-2020,19:0:47,-43,36,-3
8-19-2020,19:0:47,-43,36,-3
8-19-2020,19:0:47,-44,35,-10
8-19-2020,19:0:47,-39,39,3
8-19-2020,19:0:47,-43,36,-4
8-19-2020,19:0:47,-41,38,-2
8-19-2020,19:0:47,-43,36,-3
8-19-2020,19:0:48,-41,38,-3
8-19-2020,19:0:48,-41,37,-3
8-19-2020,19:0:48,-45,33,-7
8-19-2020,19:0:48,-37,41,-1
