date,time,accel_X,accel_Y,accel_Z
8-16-2020,17:20:56,-7,-8,54
8-16-2020,17:20:56,-10,-11,55
8-16-2020,17:20:56,-11,-12,52
8-16-2020,17:20:56,-9,-10,56
8-16-2020,17:20:56,-10,-11,55
8-16-2020,17:20:56,-10,-11,53
8-16-2020,17:20:56,-10,-10,54
8-16-2020,17:20:56,-11,-11,55
8-16-2020,17:20:56,-10,-11,57
8-16-2020,17:20:56,-9,-10,55
8-16-2020,17:20:57,-10,-11,57
8-16-2020,17:20:57,-10,-11,54
8-16-2020,17:20:57,-10,-12,54
8-16-2020,17:20:57,-10,-11,55
8-16-2020,17:20:57,-7,-7,50
8-16-2020,17:20:57,0,-1,39
8-16-2020,17:20:57,0,0,38
8-16-2020,17:20:57,2,2,31
8-16-2020,17:20:57,2,1,24
8-16-2020,17:20:57,-2,-2,9
8-16-2020,17:20:58,-1,-2,11
8-16-2020,17:20:58,-3,-3,3
8-16-2020,17:20:58,0,0,-7
8-16-2020,17:20:58,-2,-2,-4
8-16-2020,17:20:58,-2,-3,-4
8-16-2020,17:20:58,-3,-4,-2
8-16-2020,17:20:58,-1,-1,-1
8-16-2020,17:20:58,1,0,-1
8-16-2020,17:20:58,-1,-2,-3
8-16-2020,17:20:58,-1,-1,-1
8-16-2020,17:20:59,-3,-3,-1
8-16-2020,17:20:59,-2,-2,-1
8-16-2020,17:20:59,-1,-2,-2
8-16-2020,17:20:59,-3,-3,-2
8-16-2020,17:20:59,-2,-3,-1
8-16-2020,17:20:59,-2,-3,-2
8-16-2020,17:20:59,-2,-3,-4
8-16-2020,17:20:59,0,-1,-1
8-16-2020,17:20:59,0,0,-1
8-16-2020,17:20:59,-2,-3,-1
8-16-2020,17:21:0,-1,-1,0
8-16-2020,17:21:0,-2,-2,-2
8-16-2020,17:21:0,-2,-3,-2
8-16-2020,17:21:0,-2,-2,-1
8-16-2020,17:21:0,-3,-3,-2
8-16-2020,17:21:0,-1,-2,-2
8-16-2020,17:21:0,-2,-3,-2
8-16-2020,17:21:0,-2,-2,-2
8-16-2020,17:21:0,-3,-3,-2
8-16-2020,17:21:0,-1,-1,-1
8-16-2020,17:21:1,0,-1,0
8-16-2020,17:21:1,-2,-2,-2
8-16-2020,17:21:1,-1,-1,0
8-16-2020,17:21:1,-2,-2,-1
8-16-2020,17:21:1,-1,-2,-1
8-16-2020,17:21:1,-2,-3,-2
8-16-2020,17:21:1,-1,-2,-1
8-16-2020,17:21:1,-2,-2,1
8-16-2020,17:21:1,3,3,8
8-16-2020,17:21:1,2,1,7
8-16-2020,17:21:2,2,1,8
8-16-2020,17:21:2,3,3,12
8-16-2020,17:21:2,4,3,12
8-16-2020,17:21:2,4,3,14
8-16-2020,17:21:2,3,3,15
8-16-2020,17:21:2,-2,-3,10
8-16-2020,17:21:2,6,5,20
8-16-2020,17:21:2,7,7,22
8-16-2020,17:21:2,9,8,23
8-16-2020,17:21:2,8,8,23
8-16-2020,17:21:3,9,8,23
8-16-2020,17:21:3,9,8,22
8-16-2020,17:21:3,7,7,21
8-16-2020,17:21:3,6,6,21
8-16-2020,17:21:3,5,4,22
8-16-2020,17:21:3,7,6,22
8-16-2020,17:21:3,10,9,23
8-16-2020,17:21:3,6,5,23
8-16-2020,17:21:3,4,4,23
8-16-2020,17:21:3,8,7,23
8-16-2020,17:21:4,6,5,24
8-16-2020,17:21:4,7,7,22
8-16-2020,17:21:4,8,7,25
8-16-2020,17:21:4,7,7,26
8-16-2020,17:21:4,7,6,22
8-16-2020,17:21:4,6,6,24
8-16-2020,17:21:4,6,6,24
8-16-2020,17:21:4,7,7,24
8-16-2020,17:21:4,5,4,21
8-16-2020,17:21:4,7,6,24
8-16-2020,17:21:5,7,7,24
8-16-2020,17:21:5,6,6,24
8-16-2020,17:21:5,5,4,21
8-16-2020,17:21:5,4,4,19
8-16-2020,17:21:5,5,5,21
8-16-2020,17:21:5,4,4,22
8-16-2020,17:21:5,3,3,25
8-16-2020,17:21:5,7,7,32
8-16-2020,17:21:5,8,7,36
8-16-2020,17:21:5,10,9,36
8-16-2020,17:21:6,11,10,42
8-16-2020,17:21:6,15,14,46
8-16-2020,17:21:6,10,9,51
8-16-2020,17:21:6,10,10,49
8-16-2020,17:21:6,15,14,48
8-16-2020,17:21:6,14,13,51
8-16-2020,17:21:6,12,12,49
8-16-2020,17:21:6,15,15,49
8-16-2020,17:21:6,17,17,54
8-16-2020,17:21:6,16,15,57
8-16-2020,17:21:7,15,15,54
8-16-2020,17:21:7,17,17,58
8-16-2020,17:21:7,18,17,58
8-16-2020,17:21:7,16,16,58
8-16-2020,17:21:7,16,16,62
8-16-2020,17:21:7,20,20,70
8-16-2020,17:21:7,16,15,68
8-16-2020,17:21:7,20,19,72
8-16-2020,17:21:7,8,8,74
8-16-2020,17:21:7,22,21,74
8-16-2020,17:21:8,21,20,79
8-16-2020,17:21:8,23,22,80
8-16-2020,17:21:8,17,16,82
8-16-2020,17:21:8,18,17,85
8-16-2020,17:21:8,22,21,88
8-16-2020,17:21:8,19,18,87
8-16-2020,17:21:8,20,19,92
8-16-2020,17:21:8,13,12,83
8-16-2020,17:21:8,20,19,92
8-16-2020,17:21:8,23,22,95
8-16-2020,17:21:9,20,19,92
8-16-2020,17:21:9,21,21,95
8-16-2020,17:21:9,20,20,95
8-16-2020,17:21:9,17,17,91
8-16-2020,17:21:9,15,14,96
8-16-2020,17:21:9,16,16,93
8-16-2020,17:21:9,15,14,93
8-16-2020,17:21:9,18,17,97
8-16-2020,17:21:9,17,17,96
8-16-2020,17:21:9,14,13,96
8-16-2020,17:21:10,13,12,95
8-16-2020,17:21:10,15,15,96
8-16-2020,17:21:10,14,13,98
8-16-2020,17:21:10,13,12,98
8-16-2020,17:21:10,14,13,97
8-16-2020,17:21:10,14,14,94
8-16-2020,17:21:10,13,13,100
8-16-2020,17:21:10,17,17,102
8-16-2020,17:21:10,14,13,104
8-16-2020,17:21:10,14,13,102
8-16-2020,17:21:11,13,12,100
8-16-2020,17:21:11,13,12,101
8-16-2020,17:21:11,11,10,100
8-16-2020,17:21:11,11,10,105
8-16-2020,17:21:11,10,10,108
8-16-2020,17:21:11,9,8,107
8-16-2020,17:21:11,8,7,106
8-16-2020,17:21:11,8,7,108
8-16-2020,17:21:11,7,7,112
8-16-2020,17:21:11,7,6,114
8-16-2020,17:21:12,8,7,117
8-16-2020,17:21:12,6,5,110
8-16-2020,17:21:12,13,12,119
8-16-2020,17:21:12,12,11,115
8-16-2020,17:21:12,5,4,112
8-16-2020,17:21:12,7,7,112
8-16-2020,17:21:12,8,7,120
8-16-2020,17:21:12,8,8,115
8-16-2020,17:21:12,6,6,115
8-16-2020,17:21:12,8,8,115
8-16-2020,17:21:13,6,5,115
8-16-2020,17:21:13,7,6,116
8-16-2020,17:21:13,8,8,115
8-16-2020,17:21:13,9,8,116
8-16-2020,17:21:13,6,5,120
8-16-2020,17:21:13,4,4,118
8-16-2020,17:21:13,6,5,120
8-16-2020,17:21:14,6,5,124
8-16-2020,17:21:14,6,5,124
8-16-2020,17:21:14,3,2,128
8-16-2020,17:21:14,3,2,128
8-16-2020,17:21:14,2,1,129
8-16-2020,17:21:14,1,0,133
8-16-2020,17:21:14,4,3,131
8-16-2020,17:21:14,1,0,135
8-16-2020,17:21:15,5,4,135
8-16-2020,17:21:15,1,0,136
8-16-2020,17:21:15,-2,-3,136
8-16-2020,17:21:15,-1,-2,139
8-16-2020,17:21:15,-1,-1,140
8-16-2020,17:21:15,1,1,137
8-16-2020,17:21:15,-1,-2,138
8-16-2020,17:21:16,-3,-4,141
8-16-2020,17:21:16,-4,-5,146
8-16-2020,17:21:16,-3,-4,142
8-16-2020,17:21:16,-3,-4,143
8-16-2020,17:21:16,-3,-3,144
8-16-2020,17:21:16,-4,-4,146
8-16-2020,17:21:16,-2,-3,142
8-16-2020,17:21:16,-7,-7,146
8-16-2020,17:21:17,-9,-10,142
8-16-2020,17:21:17,-1,-2,161
8-16-2020,17:21:17,0,-1,162
8-16-2020,17:21:17,-9,-9,155
8-16-2020,17:21:17,-16,-17,153
8-16-2020,17:21:17,-20,-21,156
8-16-2020,17:21:17,-19,-20,163
8-16-2020,17:21:17,-15,-15,163
8-16-2020,17:21:17,-14,-14,167
8-16-2020,17:21:17,-3,-3,165
8-16-2020,17:21:17,6,5,131
8-16-2020,17:21:17,11,10,133
8-16-2020,17:21:17,8,7,119
8-16-2020,17:21:17,10,9,115
8-16-2020,17:21:17,12,11,92
8-16-2020,17:21:17,14,13,91
8-16-2020,17:21:17,13,12,89
8-16-2020,17:21:17,13,12,79
8-16-2020,17:21:17,17,16,77
8-16-2020,17:21:18,19,18,72
8-16-2020,17:21:18,19,18,69
8-16-2020,17:21:18,18,17,60
8-16-2020,17:21:18,19,19,57
8-16-2020,17:21:18,16,16,45
8-16-2020,17:21:18,12,12,33
8-16-2020,17:21:18,19,18,42
8-16-2020,17:21:18,14,14,32
8-16-2020,17:21:18,14,13,26
8-16-2020,17:21:18,15,14,31
8-16-2020,17:21:18,16,16,26
8-16-2020,17:21:19,15,14,21
8-16-2020,17:21:19,10,10,13
8-16-2020,17:21:19,14,14,10
8-16-2020,17:21:19,23,22,13
8-16-2020,17:21:19,7,6,1
8-16-2020,17:21:19,5,4,-6
8-16-2020,17:21:19,2,2,-4
8-16-2020,17:21:19,-1,-1,-7
8-16-2020,17:21:19,-9,-10,-12
8-16-2020,17:21:19,-4,-4,-12
8-16-2020,17:21:20,0,0,-13
8-16-2020,17:21:20,1,1,-10
8-16-2020,17:21:20,-2,-3,-11
8-16-2020,17:21:20,-6,-7,-12
8-16-2020,17:21:20,-5,-6,-13
8-16-2020,17:21:20,-7,-8,-16
8-16-2020,17:21:20,-10,-10,-19
8-16-2020,17:21:20,-12,-12,-19
8-16-2020,17:21:20,-11,-12,-20
8-16-2020,17:21:20,-13,-14,-17
8-16-2020,17:21:21,-13,-13,-18
8-16-2020,17:21:21,-12,-13,-20
8-16-2020,17:21:21,-12,-13,-18
8-16-2020,17:21:21,-13,-14,-21
8-16-2020,17:21:21,-14,-14,-19
8-16-2020,17:21:21,-13,-14,-21
8-16-2020,17:21:21,-13,-13,-20
8-16-2020,17:21:21,-14,-14,-19
8-16-2020,17:21:21,-13,-14,-19
8-16-2020,17:21:21,-13,-14,-18
8-16-2020,17:21:22,-13,-14,-19
8-16-2020,17:21:22,-12,-13,-19
8-16-2020,17:21:22,-14,-14,-19
8-16-2020,17:21:22,-13,-14,-19
8-16-2020,17:21:22,-15,-15,-20
8-16-2020,17:21:22,-14,-14,-21
8-16-2020,17:21:22,-16,-17,-21
