date,time,accel_Z,accel_Y,accel_X
8-21-2020,13:1:20,-4,3,-2
8-21-2020,13:1:20,-4,3,-2
8-21-2020,13:1:21,-5,2,-2
8-21-2020,13:1:21,-4,3,-2
8-21-2020,13:1:21,-5,2,-3
8-21-2020,13:1:21,-5,2,-2
8-21-2020,13:1:21,-4,3,-2
8-21-2020,13:1:21,-4,2,-2
8-21-2020,13:1:22,-4,2,-2
8-21-2020,13:1:22,-4,2,-2
8-21-2020,13:1:22,-4,2,-2
8-21-2020,13:1:22,-4,2,-2
8-21-2020,13:1:22,-4,2,-2
8-21-2020,13:1:23,-4,3,-2
8-21-2020,13:1:23,-5,2,-3
8-21-2020,13:1:23,-4,3,-2
8-21-2020,13:1:23,-4,3,-2
8-21-2020,13:1:23,-4,2,-2
8-21-2020,13:1:23,-4,3,-2
8-21-2020,13:1:24,-4,2,-2
8-21-2020,13:1:24,-4,3,-2
8-21-2020,13:1:24,-4,3,-2
8-21-2020,13:1:24,-4,3,-2
8-21-2020,13:1:24,-4,3,-2
8-21-2020,13:1:25,-3,2,-2
8-21-2020,13:1:25,-4,3,-2
8-21-2020,13:1:25,-4,2,-2
8-21-2020,13:1:25,-9,1,-11
8-21-2020,13:1:25,-27,-18,-21
8-21-2020,13:1:25,-21,-14,-20
8-21-2020,13:1:26,-6,-5,-7
8-21-2020,13:1:26,-8,-11,-8
8-21-2020,13:1:26,-6,-19,-10
8-21-2020,13:1:26,-14,-31,-10
8-21-2020,13:1:26,-13,-36,-7
8-21-2020,13:1:27,-19,-45,-7
8-21-2020,13:1:27,-7,-39,-1
8-21-2020,13:1:27,-32,-62,-13
8-21-2020,13:1:27,-27,-62,-5
8-21-2020,13:1:27,-24,-66,-1
8-21-2020,13:1:28,-36,-79,-3
8-21-2020,13:1:28,-33,-78,4
8-21-2020,13:1:28,-44,-92,2
8-21-2020,13:1:28,-41,-90,14
8-21-2020,13:1:28,-41,-91,17
8-21-2020,13:1:29,-44,-94,23
8-21-2020,13:1:29,-43,-96,30
8-21-2020,13:1:29,-45,-97,31
8-21-2020,13:1:29,-37,-92,46
8-21-2020,13:1:29,-43,-98,36
8-21-2020,13:1:30,-41,-94,42
8-21-2020,13:1:30,-41,-94,60
8-21-2020,13:1:30,-29,-151,-35
8-21-2020,13:1:30,-31,-143,7
8-21-2020,13:1:30,-29,-98,20
8-21-2020,13:1:31,-40,-157,-39
8-21-2020,13:1:31,-78,-212,-69
8-21-2020,13:1:31,-57,-151,6
8-21-2020,13:1:32,-59,-77,37
8-21-2020,13:1:32,-52,-61,34
8-21-2020,13:1:32,-55,-89,7
8-21-2020,13:1:32,-49,-119,-9
8-21-2020,13:1:33,-52,-159,-28
8-21-2020,13:1:33,-59,-132,22
8-21-2020,13:1:33,-60,-107,14
8-21-2020,13:1:34,-43,-195,-93
8-21-2020,13:1:34,-72,-233,-72
8-21-2020,13:1:34,-65,-167,-14
8-21-2020,13:1:35,-79,-144,-18
8-21-2020,13:1:35,-76,-139,-21
8-21-2020,13:1:35,-85,-132,-14
8-21-2020,13:1:36,-36,-130,-12
8-21-2020,13:1:36,-74,-93,-24
8-21-2020,13:1:36,-46,-152,-4
8-21-2020,13:1:37,-49,-152,-5
8-21-2020,13:1:37,-35,-191,-33
8-21-2020,13:1:37,-21,-171,-12
8-21-2020,13:1:38,-106,-221,-91
8-21-2020,13:1:38,-16,-447,-156
8-21-2020,13:1:39,-44,-307,-92
8-21-2020,13:1:39,-52,-236,-67
8-21-2020,13:1:39,-51,-207,-48
8-21-2020,13:1:40,-48,-181,-32
8-21-2020,13:1:40,-93,-168,-34
8-21-2020,13:1:41,-113,-175,7
8-21-2020,13:1:41,-87,-333,-351
8-21-2020,13:1:42,-236,-234,-162
8-21-2020,13:1:42,-212,-229,-156
8-21-2020,13:1:43,-213,-159,-101
8-21-2020,13:1:43,-101,-249,-81
8-21-2020,13:1:44,-43,-228,-37
8-21-2020,13:1:44,-48,-204,-62
8-21-2020,13:1:45,-40,-168,-12
8-21-2020,13:1:45,-21,-193,-68
8-21-2020,13:1:46,-208,-270,-231
8-21-2020,13:1:46,-254,-196,-259
8-21-2020,13:1:47,-243,-175,-190
8-21-2020,13:1:48,-225,-225,-155
8-21-2020,13:1:48,-11,-329,-81
8-21-2020,13:1:49,1,-288,-104
