date,time,accel_Z,accel_Y,accel_X
8-21-2020,13:48:1,-24,26,-3
8-21-2020,13:48:1,-24,25,-1
8-21-2020,13:48:1,-22,27,-1
8-21-2020,13:48:1,-23,27,0
8-21-2020,13:48:1,-23,26,-1
8-21-2020,13:48:1,-24,25,-2
8-21-2020,13:48:1,-23,26,-1
8-21-2020,13:48:2,-25,24,-2
8-21-2020,13:48:2,-12,36,6
8-21-2020,13:48:2,-31,18,-8
8-21-2020,13:48:2,-24,24,-5
8-21-2020,13:48:2,-28,20,-6
8-21-2020,13:48:2,-15,27,0
8-21-2020,13:48:2,-17,27,-1
8-21-2020,13:48:2,-36,8,-14
8-21-2020,13:48:2,-33,5,-16
8-21-2020,13:48:2,2,33,-3
8-21-2020,13:48:3,-10,-41,-14
8-21-2020,13:48:3,-43,-54,-2
8-21-2020,13:48:3,-40,-15,30
8-21-2020,13:48:3,-15,-1,-48
8-21-2020,13:48:3,93,80,-265
8-21-2020,13:48:3,10,-23,-349
8-21-2020,13:48:3,-51,-122,-302
8-21-2020,13:48:3,-88,-125,-36
8-21-2020,13:48:3,-200,-153,98
8-21-2020,13:48:3,-211,-293,166
8-21-2020,13:48:4,-249,-201,154
8-21-2020,13:48:4,-167,-118,31
8-21-2020,13:48:4,-214,-163,-41
8-21-2020,13:48:4,-59,-180,-221
8-21-2020,13:48:4,150,177,-214
8-21-2020,13:48:4,97,154,-154
8-21-2020,13:48:4,17,90,-57
8-21-2020,13:48:4,-4,65,-27
8-21-2020,13:48:4,-24,39,5
8-21-2020,13:48:4,-24,42,5
8-21-2020,13:48:5,-37,29,-5
8-21-2020,13:48:5,-38,13,-19
8-21-2020,13:48:5,-26,25,-6
8-21-2020,13:48:5,-22,16,-6
8-21-2020,13:48:5,-40,21,-12
8-21-2020,13:48:5,-32,27,-6
8-21-2020,13:48:5,-33,27,-7
8-21-2020,13:48:5,-37,25,-8
8-21-2020,13:48:5,-21,16,-6
8-21-2020,13:48:5,-20,17,-5
8-21-2020,13:48:6,-20,18,-3
8-21-2020,13:48:6,-21,16,-5
8-21-2020,13:48:6,-23,16,-6
8-21-2020,13:48:6,-25,17,-6
8-21-2020,13:48:6,-23,19,-4
8-21-2020,13:48:6,-24,18,-5
8-21-2020,13:48:6,-26,17,-6
8-21-2020,13:48:6,-26,18,-5
8-21-2020,13:48:6,-28,22,-5
8-21-2020,13:48:6,-26,22,-6
8-21-2020,13:48:7,-37,25,-7
8-21-2020,13:48:7,-40,22,-11
8-21-2020,13:48:7,-38,25,-12
8-21-2020,13:48:7,-15,46,-29
8-21-2020,13:48:7,105,34,-206
8-21-2020,13:48:7,63,-43,-335
8-21-2020,13:48:7,26,-152,-317
8-21-2020,13:48:7,-39,-187,-202
8-21-2020,13:48:7,-177,-252,23
8-21-2020,13:48:7,-97,-245,87
8-21-2020,13:48:8,-109,-305,145
8-21-2020,13:48:8,-192,-291,84
8-21-2020,13:48:8,-237,-261,-205
8-21-2020,13:48:8,109,-171,-423
8-21-2020,13:48:8,207,206,-391
8-21-2020,13:48:8,100,161,-162
8-21-2020,13:48:8,12,57,-25
8-21-2020,13:48:8,-23,36,42
8-21-2020,13:48:8,-21,45,26
8-21-2020,13:48:8,-32,31,0
8-21-2020,13:48:9,-35,24,-12
8-21-2020,13:48:9,-56,11,13
8-21-2020,13:48:9,-18,20,-62
8-21-2020,13:48:9,-19,24,-58
8-21-2020,13:48:9,-36,11,-43
8-21-2020,13:48:9,17,63,-170
8-21-2020,13:48:9,3,62,-314
8-21-2020,13:48:9,-83,-42,-398
8-21-2020,13:48:9,-148,-151,-220
8-21-2020,13:48:9,-270,-223,56
8-21-2020,13:48:10,-156,-249,-16
8-21-2020,13:48:10,-197,-371,207
8-21-2020,13:48:10,-181,-347,-55
8-21-2020,13:48:10,-102,-349,-422
8-21-2020,13:48:10,164,222,-424
8-21-2020,13:48:10,174,246,-348
8-21-2020,13:48:10,106,170,-110
8-21-2020,13:48:10,63,30,50
8-21-2020,13:48:10,-4,5,11
8-21-2020,13:48:10,-20,-10,-15
8-21-2020,13:48:11,-35,-3,-16
8-21-2020,13:48:11,-50,6,-19
8-21-2020,13:48:11,-40,16,-7
