date,time,accel_Z,accel_Y,accel_X
8-21-2020,13:45:57,-40,38,-7
8-21-2020,13:45:57,-31,47,-4
8-21-2020,13:45:57,-50,28,0
8-21-2020,13:45:57,-63,18,-24
8-21-2020,13:45:57,-77,1,-14
8-21-2020,13:45:57,33,110,-188
8-21-2020,13:45:57,-38,36,8
8-21-2020,13:45:57,-51,23,-15
8-21-2020,13:45:57,-57,17,-18
8-21-2020,13:45:57,-51,23,-19
8-21-2020,13:45:57,-18,49,-82
8-21-2020,13:45:57,-11,65,-211
8-21-2020,13:45:58,-35,40,-343
8-21-2020,13:45:58,-159,-84,-291
8-21-2020,13:45:58,-137,-94,-127
8-21-2020,13:45:58,-130,-209,61
8-21-2020,13:45:58,-132,-238,145
8-21-2020,13:45:58,-267,-191,224
8-21-2020,13:45:58,-227,-150,153
8-21-2020,13:45:58,-194,-117,82
8-21-2020,13:45:58,-147,-139,10
8-21-2020,13:45:59,-74,-142,-124
8-21-2020,13:45:59,113,180,-319
8-21-2020,13:45:59,93,99,-173
8-21-2020,13:45:59,28,72,-96
8-21-2020,13:45:59,13,55,-46
8-21-2020,13:45:59,-16,40,-13
8-21-2020,13:45:59,-37,28,2
8-21-2020,13:45:59,-37,19,-11
8-21-2020,13:45:59,-37,4,-3
8-21-2020,13:45:59,-6,32,-226
8-21-2020,13:46:0,-38,11,-14
8-21-2020,13:46:0,-36,7,-16
8-21-2020,13:46:0,-28,11,-7
8-21-2020,13:46:0,-40,3,-17
8-21-2020,13:46:0,-31,11,-11
8-21-2020,13:46:0,-42,6,-16
8-21-2020,13:46:0,-45,6,-17
8-21-2020,13:46:0,-37,14,-11
8-21-2020,13:46:0,-48,4,-20
8-21-2020,13:46:0,-37,14,-10
8-21-2020,13:46:1,-45,6,-17
8-21-2020,13:46:1,-39,14,-11
8-21-2020,13:46:1,-37,15,-11
8-21-2020,13:46:1,-50,2,-21
8-21-2020,13:46:1,-48,5,-19
8-21-2020,13:46:1,-43,9,-16
8-21-2020,13:46:1,-47,5,-19
8-21-2020,13:46:1,-48,5,-19
8-21-2020,13:46:1,-43,8,-16
8-21-2020,13:46:1,-48,5,-19
8-21-2020,13:46:1,-46,5,-18
8-21-2020,13:46:2,-49,3,-21
8-21-2020,13:46:2,-39,14,-12
8-21-2020,13:46:2,-40,13,-13
8-21-2020,13:46:2,-38,15,-11
8-21-2020,13:46:2,-54,-1,-25
8-21-2020,13:46:2,-38,15,-11
8-21-2020,13:46:2,-37,18,-10
8-21-2020,13:46:2,-37,17,-10
8-21-2020,13:46:2,-46,9,-16
8-21-2020,13:46:3,-48,7,-18
8-21-2020,13:46:3,-41,15,-12
8-21-2020,13:46:3,-39,15,-12
8-21-2020,13:46:3,-35,18,-9
8-21-2020,13:46:3,-44,10,-16
8-21-2020,13:46:3,-50,5,-20
8-21-2020,13:46:3,-47,7,-18
8-21-2020,13:46:3,-49,6,-19
8-21-2020,13:46:3,-51,-2,-24
8-21-2020,13:46:3,-43,23,-10
8-21-2020,13:46:3,-53,16,-17
8-21-2020,13:46:4,-52,18,-16
8-21-2020,13:46:4,-47,23,-33
8-21-2020,13:46:4,121,115,-201
8-21-2020,13:46:4,31,4,-219
8-21-2020,13:46:4,-69,-164,-108
8-21-2020,13:46:4,-251,-176,109
8-21-2020,13:46:4,-136,-59,68
8-21-2020,13:46:4,-78,2,-46
8-21-2020,13:46:4,76,85,-113
8-21-2020,13:46:5,51,60,-71
8-21-2020,13:46:5,3,36,-28
8-21-2020,13:46:5,-22,11,-5
8-21-2020,13:46:5,-33,-5,-8
8-21-2020,13:46:5,-73,6,31
8-21-2020,13:46:5,-73,8,-40
8-21-2020,13:46:5,-51,27,-22
8-21-2020,13:46:5,-33,29,-1
8-21-2020,13:46:5,-37,19,-11
8-21-2020,13:46:5,-30,19,-5
8-21-2020,13:46:6,-32,24,-5
8-21-2020,13:46:6,-37,18,-11
8-21-2020,13:46:6,-35,21,-10
8-21-2020,13:46:6,-34,24,-7
8-21-2020,13:46:6,-51,2,-24
8-21-2020,13:46:6,-45,14,-15
8-21-2020,13:46:6,-33,29,-4
8-21-2020,13:46:6,-44,30,-9
8-21-2020,13:46:6,-45,29,-10
8-21-2020,13:46:6,-42,31,-6
8-21-2020,13:46:7,-34,24,-7
8-21-2020,13:46:7,-41,16,-13
8-21-2020,13:46:7,-46,12,-16
8-21-2020,13:46:7,-49,10,-17
8-21-2020,13:46:7,-48,17,-15
8-21-2020,13:46:7,-48,18,-14
8-21-2020,13:46:7,-45,22,-12
8-21-2020,13:46:7,-43,25,-12
8-21-2020,13:46:7,-40,27,-9
8-21-2020,13:46:7,-65,1,-29
8-21-2020,13:46:8,-77,-10,-39
8-21-2020,13:46:8,-44,22,-13
8-21-2020,13:46:8,-43,23,-12
8-21-2020,13:46:8,-38,28,-8
8-21-2020,13:46:8,-62,1,-28
8-21-2020,13:46:8,-51,8,-20
8-21-2020,13:46:8,-52,17,-17
8-21-2020,13:46:8,-50,11,-19
8-21-2020,13:46:8,-42,23,-11
8-21-2020,13:46:8,-38,25,-8
8-21-2020,13:46:8,-39,27,-8
8-21-2020,13:46:9,-38,27,-8
8-21-2020,13:46:9,-43,23,-11
8-21-2020,13:46:9,-42,23,-10
8-21-2020,13:46:9,-44,21,-12
8-21-2020,13:46:9,-46,20,-13
8-21-2020,13:46:9,-50,18,-16
8-21-2020,13:46:9,-48,19,-14
8-21-2020,13:46:9,-49,18,-16
8-21-2020,13:46:9,-50,17,-17
8-21-2020,13:46:10,-47,20,-14
8-21-2020,13:46:10,-53,14,-19
8-21-2020,13:46:10,-49,18,-16
8-21-2020,13:46:10,-52,16,-18
8-21-2020,13:46:10,-52,16,-18
8-21-2020,13:46:10,-50,18,-16
8-21-2020,13:46:10,-50,18,-16
8-21-2020,13:46:10,-48,20,-15
8-21-2020,13:46:10,-48,20,-16
8-21-2020,13:46:10,-44,24,-13
8-21-2020,13:46:10,-44,24,-12
8-21-2020,13:46:11,-47,22,-13
8-21-2020,13:46:11,-49,22,-15
8-21-2020,13:46:11,-51,21,-15
8-21-2020,13:46:11,-52,19,-17
8-21-2020,13:46:11,-51,20,-17
8-21-2020,13:46:11,-57,15,-21
8-21-2020,13:46:11,-52,19,-17
8-21-2020,13:46:11,-46,25,-12
8-21-2020,13:46:11,-44,28,-11
8-21-2020,13:46:12,-48,24,-12
8-21-2020,13:46:12,-71,5,-31
8-21-2020,13:46:12,-13,64,-43
8-21-2020,13:46:12,108,154,-207
8-21-2020,13:46:12,29,-11,-153
8-21-2020,13:46:12,-121,-268,76
8-21-2020,13:46:12,-143,-135,81
8-21-2020,13:46:12,-39,-23,7
8-21-2020,13:46:12,70,145,-72
8-21-2020,13:46:12,83,153,-104
8-21-2020,13:46:13,149,201,-160
8-21-2020,13:46:13,-5,29,-140
8-21-2020,13:46:13,-244,-188,75
8-21-2020,13:46:13,-158,-98,73
8-21-2020,13:46:13,-89,-23,13
8-21-2020,13:46:13,42,113,-70
8-21-2020,13:46:13,153,231,-120
8-21-2020,13:46:13,93,168,-132
8-21-2020,13:46:13,-37,30,-79
8-21-2020,13:46:13,-143,-74,113
8-21-2020,13:46:14,-100,-93,69
8-21-2020,13:46:14,-33,-14,-9
8-21-2020,13:46:14,38,93,-64
8-21-2020,13:46:14,33,101,-60
8-21-2020,13:46:14,9,50,-73
8-21-2020,13:46:14,-34,0,-30
8-21-2020,13:46:14,-15,10,-3
8-21-2020,13:46:14,-8,0,1
8-21-2020,13:46:14,-14,-7,-2
8-21-2020,13:46:14,-4,-4,-7
8-21-2020,13:46:15,6,-2,2
8-21-2020,13:46:15,8,2,-1
8-21-2020,13:46:15,-13,-5,-14
8-21-2020,13:46:15,-20,0,2
8-21-2020,13:46:15,-44,-32,-41
8-21-2020,13:46:15,-39,-22,-30
8-21-2020,13:46:15,-44,-28,-30
8-21-2020,13:46:15,-23,-7,-18
8-21-2020,13:46:15,-14,-1,-10
8-21-2020,13:46:15,-23,-10,-19
8-21-2020,13:46:16,-7,4,-6
8-21-2020,13:46:16,-21,-6,-15
8-21-2020,13:46:16,-14,3,-10
8-21-2020,13:46:16,-19,1,-14
8-21-2020,13:46:16,-19,-2,-12
8-21-2020,13:46:16,-23,-6,-14
8-21-2020,13:46:16,-24,-8,-16
8-21-2020,13:46:16,-32,-16,-23
8-21-2020,13:46:16,-13,1,-10
8-21-2020,13:46:16,-25,-9,-18
8-21-2020,13:46:17,-20,12,-7
8-21-2020,13:46:17,-43,12,-18
8-21-2020,13:46:17,-39,15,-12
8-21-2020,13:46:17,-33,21,-7
8-21-2020,13:46:17,-37,26,-8
8-21-2020,13:46:17,-38,23,-9
8-21-2020,13:46:17,-35,25,-8
8-21-2020,13:46:17,-25,20,-8
8-21-2020,13:46:17,-13,5,-18
8-21-2020,13:46:18,-36,22,-7
8-21-2020,13:46:18,-40,29,-2
8-21-2020,13:46:18,-24,45,3
8-21-2020,13:46:18,-36,34,3
8-21-2020,13:46:18,-55,12,-33
8-21-2020,13:46:18,-44,24,19
8-21-2020,13:46:18,-41,31,-2
8-21-2020,13:46:18,-14,-11,-21
8-21-2020,13:46:18,-14,-12,-6
8-21-2020,13:46:18,-23,1,-7
8-21-2020,13:46:18,-14,4,-8
8-21-2020,13:46:19,-51,3,-25
8-21-2020,13:46:19,-22,2,-11
8-21-2020,13:46:19,-12,15,0
8-21-2020,13:46:19,-26,22,-4
8-21-2020,13:46:19,-24,23,-1
8-21-2020,13:46:19,-22,22,-1
8-21-2020,13:46:19,-26,27,1
8-21-2020,13:46:19,-27,19,-4
8-21-2020,13:46:19,-28,16,-5
8-21-2020,13:46:20,-29,16,-7
8-21-2020,13:46:20,-31,17,-7
8-21-2020,13:46:20,-27,20,-4
8-21-2020,13:46:20,-26,20,-4
8-21-2020,13:46:20,-31,16,-7
8-21-2020,13:46:20,-29,17,-6
8-21-2020,13:46:20,-25,21,-3
8-21-2020,13:46:20,-16,13,-4
8-21-2020,13:46:20,-22,7,-9
8-21-2020,13:46:20,-19,11,-4
8-21-2020,13:46:20,-21,10,-6
8-21-2020,13:46:21,-17,14,-4
8-21-2020,13:46:21,-17,13,-4
8-21-2020,13:46:21,-18,13,-4
8-21-2020,13:46:21,-18,13,-4
8-21-2020,13:46:21,-17,13,-3
