date,time,accel_Z,accel_Y,accel_X
8-21-2020,13:57:19,-9,69,-8
8-21-2020,13:57:19,29,-11,-5
8-21-2020,13:57:20,22,3,7
8-21-2020,13:57:20,-158,78,-12
8-21-2020,13:57:20,-13,124,23
8-21-2020,13:57:20,-42,240,70
8-21-2020,13:57:20,109,188,-150
8-21-2020,13:57:21,8,-47,15
8-21-2020,13:57:21,0,7,1
8-21-2020,13:57:21,-10,11,8
8-21-2020,13:57:21,-8,10,2
8-21-2020,13:57:21,-23,22,5
8-21-2020,13:57:22,-22,17,2
8-21-2020,13:57:22,-28,24,-1
8-21-2020,13:57:22,-24,21,1
8-21-2020,13:57:22,-21,18,3
8-21-2020,13:57:23,-11,-3,-4
8-21-2020,13:57:23,-4,2,5
8-21-2020,13:57:23,-4,3,0
8-21-2020,13:57:23,3,8,12
8-21-2020,13:57:23,-53,-31,-75
8-21-2020,13:57:24,-54,89,66
8-21-2020,13:57:24,-59,-33,0
8-21-2020,13:57:24,8,-11,24
8-21-2020,13:57:24,-4,3,-7
8-21-2020,13:57:24,-4,0,1
8-21-2020,13:57:25,0,2,4
8-21-2020,13:57:25,-8,15,0
8-21-2020,13:57:25,-21,-12,-33
8-21-2020,13:57:25,-2,-37,-49
8-21-2020,13:57:25,-27,63,28
8-21-2020,13:57:26,23,132,151
8-21-2020,13:57:26,-118,-40,-217
8-21-2020,13:57:26,-40,32,-14
8-21-2020,13:57:26,-36,-1,-39
8-21-2020,13:57:26,-11,4,9
8-21-2020,13:57:27,-78,202,194
8-21-2020,13:57:27,-27,-42,-184
8-21-2020,13:57:27,-10,6,-9
8-21-2020,13:57:27,-13,8,-4
8-21-2020,13:57:27,-7,4,-1
8-21-2020,13:57:28,-4,4,1
8-21-2020,13:57:28,-1,3,1
8-21-2020,13:57:28,3,4,6
8-21-2020,13:57:28,-1,6,-3
8-21-2020,13:57:29,20,31,0
8-21-2020,13:57:29,56,-9,-4
8-21-2020,13:57:29,-64,10,74
8-21-2020,13:57:29,93,222,406
8-21-2020,13:57:29,-7,18,-11
8-21-2020,13:57:30,1,10,10
8-21-2020,13:57:30,6,11,19
8-21-2020,13:57:30,3,14,15
8-21-2020,13:57:30,0,15,13
8-21-2020,13:57:30,7,15,27
8-21-2020,13:57:31,-17,31,10
8-21-2020,13:57:31,-15,24,10
8-21-2020,13:57:31,-18,7,2
8-21-2020,13:57:31,-43,4,-23
8-21-2020,13:57:32,-29,21,-11
8-21-2020,13:57:32,-26,38,-1
8-21-2020,13:57:32,-29,38,0
8-21-2020,13:57:32,-27,31,1
8-21-2020,13:57:32,-30,30,-2
8-21-2020,13:57:33,-24,35,0
8-21-2020,13:57:33,-27,32,1
8-21-2020,13:57:33,-31,28,1
8-21-2020,13:57:33,-36,32,-4
8-21-2020,13:57:34,-33,34,2
8-21-2020,13:57:34,-15,28,2
8-21-2020,13:57:34,-33,26,-9
8-21-2020,13:57:34,-45,25,-34
8-21-2020,13:57:34,-19,0,-39
8-21-2020,13:57:35,-92,285,237
8-21-2020,13:57:35,-3,-50,66
8-21-2020,13:57:35,-1,3,5
8-21-2020,13:57:35,-6,10,2
8-21-2020,13:57:36,2,3,5
8-21-2020,13:57:36,1,8,5
8-21-2020,13:57:36,-14,18,0
8-21-2020,13:57:36,8,7,7
8-21-2020,13:57:36,-4,-2,-46
8-21-2020,13:57:37,-18,-36,-4
8-21-2020,13:57:37,-120,234,247
8-21-2020,13:57:37,52,130,-59
8-21-2020,13:57:37,-37,40,-14
8-21-2020,13:57:38,-33,-48,-25
8-21-2020,13:57:38,-59,45,57
8-21-2020,13:57:38,-129,-67,-143
8-21-2020,13:57:38,-27,-1,-14
8-21-2020,13:57:38,-2,1,-1
8-21-2020,13:57:39,-38,36,5
8-21-2020,13:57:39,-37,37,0
8-21-2020,13:57:39,-36,37,1
8-21-2020,13:57:39,-28,31,6
8-21-2020,13:57:40,-26,28,1
8-21-2020,13:57:40,0,6,2
8-21-2020,13:57:40,-33,33,-5
8-21-2020,13:57:40,-38,36,-39
8-21-2020,13:57:40,-46,28,21
8-21-2020,13:57:41,-23,57,135
8-21-2020,13:57:41,-5,7,-11
8-21-2020,13:57:41,6,5,20
8-21-2020,13:57:41,8,2,13
8-21-2020,13:57:42,-1,5,-2
8-21-2020,13:57:42,0,3,0
8-21-2020,13:57:42,1,5,7
8-21-2020,13:57:42,3,5,7
8-21-2020,13:57:43,3,5,8
8-21-2020,13:57:43,4,4,12
8-21-2020,13:57:43,5,16,1
8-21-2020,13:57:43,-19,28,20
8-21-2020,13:57:43,-25,31,6
8-21-2020,13:57:44,-23,30,3
8-21-2020,13:57:44,-24,28,5
8-21-2020,13:57:44,-19,28,6
8-21-2020,13:57:44,-21,27,5
8-21-2020,13:57:45,-22,26,4
8-21-2020,13:57:45,-22,28,1
8-21-2020,13:57:45,-13,14,1
8-21-2020,13:57:45,-7,19,3
8-21-2020,13:57:45,4,6,0
8-21-2020,13:57:46,-11,18,5
8-21-2020,13:57:46,-9,15,-18
8-21-2020,13:57:46,-45,0,-48
8-21-2020,13:57:46,-60,67,126
8-21-2020,13:57:47,-190,-108,-101
8-21-2020,13:57:47,-4,6,-10
8-21-2020,13:57:47,-6,2,2
8-21-2020,13:57:47,-6,3,-2
8-21-2020,13:57:47,-3,4,1
8-21-2020,13:57:48,-9,8,-5
8-21-2020,13:57:48,-10,4,-2
8-21-2020,13:57:48,7,6,3
8-21-2020,13:57:48,-10,-57,-41
8-21-2020,13:57:49,-42,-1,18
8-21-2020,13:57:49,-80,211,163
8-21-2020,13:57:49,-18,29,43
8-21-2020,13:57:49,-11,14,-10
8-21-2020,13:57:50,-23,-25,-43
8-21-2020,13:57:50,-45,2,14
8-21-2020,13:57:50,-40,131,85
8-21-2020,13:57:50,-49,28,32
8-21-2020,13:57:51,-36,42,-2
8-21-2020,13:57:51,-37,41,4
8-21-2020,13:57:51,-37,41,1
8-21-2020,13:57:51,-38,40,1
8-21-2020,13:57:52,-36,41,0
8-21-2020,13:57:52,-36,40,4
8-21-2020,13:57:52,-35,42,4
8-21-2020,13:57:52,-34,44,5
8-21-2020,13:57:52,-21,57,-17
8-21-2020,13:57:53,-51,27,17
8-21-2020,13:57:53,-39,41,124
8-21-2020,13:57:53,-62,-25,-116
8-21-2020,13:57:53,-1,8,-5
8-21-2020,13:57:54,6,5,11
8-21-2020,13:57:54,5,11,20
8-21-2020,13:57:54,-12,29,16
8-21-2020,13:57:54,2,9,7
8-21-2020,13:57:55,-27,39,7
8-21-2020,13:57:55,-30,41,5
8-21-2020,13:57:55,-31,40,9
8-21-2020,13:57:55,-27,38,16
8-21-2020,13:57:56,-32,38,-10
8-21-2020,13:57:56,0,10,12
8-21-2020,13:57:56,-1,4,2
8-21-2020,13:57:56,-2,7,5
8-21-2020,13:57:57,-15,21,5
8-21-2020,13:57:57,-12,16,4
8-21-2020,13:57:57,-22,26,4
8-21-2020,13:57:57,-9,11,4
8-21-2020,13:57:58,-17,25,3
8-21-2020,13:57:58,2,2,6
8-21-2020,13:57:58,5,2,5
8-21-2020,13:57:58,2,4,1
8-21-2020,13:57:59,-1,7,1
8-21-2020,13:57:59,8,12,-11
8-21-2020,13:57:59,-24,-38,-33
8-21-2020,13:57:59,-88,222,237
8-21-2020,13:58:0,1,4,-81
8-21-2020,13:58:0,-11,10,-13
8-21-2020,13:58:0,-18,17,1
8-21-2020,13:58:0,-8,13,0
8-21-2020,13:58:1,-10,15,3
8-21-2020,13:58:1,-24,26,-1
8-21-2020,13:58:1,-24,22,-2
8-21-2020,13:58:1,-11,-3,-38
8-21-2020,13:58:2,-5,-22,-6
8-21-2020,13:58:2,-108,214,176
8-21-2020,13:58:2,-58,119,5
8-21-2020,13:58:2,-13,-1,-9
8-21-2020,13:58:3,-37,-37,-51
8-21-2020,13:58:3,-24,17,10
8-21-2020,13:58:3,-105,217,140
8-21-2020,13:58:3,-62,2,-79
8-21-2020,13:58:4,-37,42,-3
8-21-2020,13:58:4,-36,38,2
8-21-2020,13:58:4,-38,37,-1
8-21-2020,13:58:4,-37,37,2
8-21-2020,13:58:5,-36,38,0
8-21-2020,13:58:5,-36,39,6
8-21-2020,13:58:5,-35,40,5
8-21-2020,13:58:5,-38,36,8
8-21-2020,13:58:6,-30,48,-7
8-21-2020,13:58:6,-29,48,-31
8-21-2020,13:58:6,-53,26,67
8-21-2020,13:58:6,32,113,184
8-21-2020,13:58:7,-30,45,-7
8-21-2020,13:58:7,1,3,4
8-21-2020,13:58:7,-15,20,-2
8-21-2020,13:58:7,-22,31,7
8-21-2020,13:58:8,-17,21,15
8-21-2020,13:58:8,-9,16,4
