date,time,accel_X,accel_Y,accel_Z
8-6-2020,9:59:46,521,,
8-6-2020,9:59:46,521,,
8-6-2020,9:59:46,521,,
8-6-2020,9:59:46,521,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:47,522,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:47,522,,
8-6-2020,9:59:47,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:48,521,,
8-6-2020,9:59:49,521,,
8-6-2020,9:59:49,521,,
8-6-2020,9:59:49,521,,
8-6-2020,9:59:49,522,,
8-6-2020,9:59:49,521,,
8-6-2020,9:59:49,521,,
8-6-2020,9:59:49,521,,
8-6-2020,9:59:49,522,,
8-6-2020,9:59:49,522,,
8-6-2020,9:59:49,521,,
8-6-2020,9:59:50,521,,
8-6-2020,9:59:50,522,,
8-6-2020,9:59:50,521,,
8-6-2020,9:59:50,521,,
8-6-2020,9:59:50,521,,
8-6-2020,9:59:50,521,,
8-6-2020,9:59:50,521,,
8-6-2020,9:59:50,521,,
8-6-2020,9:59:50,521,,
8-6-2020,9:59:50,522,,
8-6-2020,9:59:51,521,,
8-6-2020,9:59:51,521,,
8-6-2020,9:59:51,521,,
8-6-2020,9:59:51,521,,
8-6-2020,9:59:51,521,,
8-6-2020,9:59:51,521,,
8-6-2020,9:59:51,522,,
8-6-2020,9:59:51,521,,
8-6-2020,9:59:51,522,,
8-6-2020,9:59:51,521,,
8-6-2020,9:59:52,521,,
8-6-2020,9:59:52,521,,
8-6-2020,9:59:52,522,,
8-6-2020,9:59:52,520,,
8-6-2020,9:59:52,521,,
8-6-2020,9:59:52,521,,
8-6-2020,9:59:52,521,,
8-6-2020,9:59:52,519,,
8-6-2020,9:59:52,520,,
8-6-2020,9:59:52,519,,
8-6-2020,9:59:53,520,,
8-6-2020,9:59:53,518,,
8-6-2020,9:59:53,514,,
8-6-2020,9:59:53,522,,
8-6-2020,9:59:53,534,,
8-6-2020,9:59:53,542,,
8-6-2020,9:59:53,552,,
8-6-2020,9:59:53,562,,
8-6-2020,9:59:53,563,,
8-6-2020,9:59:53,562,,
8-6-2020,9:59:54,571,,
8-6-2020,9:59:54,577,,
8-6-2020,9:59:54,588,,
8-6-2020,9:59:54,591,,
8-6-2020,9:59:54,590,,
8-6-2020,9:59:54,593,,
8-6-2020,9:59:54,599,,
8-6-2020,9:59:54,596,,
8-6-2020,9:59:54,595,,
8-6-2020,9:59:54,600,,
8-6-2020,9:59:55,603,,
8-6-2020,9:59:55,614,,
8-6-2020,9:59:55,613,,
8-6-2020,9:59:55,610,,
8-6-2020,9:59:55,605,,
8-6-2020,9:59:55,610,,
8-6-2020,9:59:55,610,,
8-6-2020,9:59:55,609,,
8-6-2020,9:59:55,609,,
8-6-2020,9:59:55,610,,
8-6-2020,9:59:56,609,,
8-6-2020,9:59:56,609,,
8-6-2020,9:59:56,609,,
8-6-2020,9:59:56,608,,
8-6-2020,9:59:56,609,,
8-6-2020,9:59:56,614,,
8-6-2020,9:59:56,611,,
8-6-2020,9:59:56,608,,
8-6-2020,9:59:56,612,,
8-6-2020,9:59:56,601,,
8-6-2020,9:59:57,600,,
8-6-2020,9:59:57,607,,
8-6-2020,9:59:57,600,,
8-6-2020,9:59:57,609,,
8-6-2020,9:59:57,603,,
8-6-2020,9:59:57,613,,
8-6-2020,9:59:57,601,,
8-6-2020,9:59:57,604,,
8-6-2020,9:59:57,604,,
8-6-2020,9:59:57,605,,
8-6-2020,9:59:57,611,,
8-6-2020,9:59:58,605,,
8-6-2020,9:59:58,605,,
8-6-2020,9:59:58,603,,
8-6-2020,9:59:58,609,,
8-6-2020,9:59:58,613,,
8-6-2020,9:59:58,608,,
8-6-2020,9:59:58,607,,
8-6-2020,9:59:58,606,,
8-6-2020,9:59:58,605,,
8-6-2020,9:59:59,603,,
8-6-2020,9:59:59,608,,
8-6-2020,9:59:59,608,,
8-6-2020,9:59:59,605,,
8-6-2020,9:59:59,603,,
8-6-2020,9:59:59,605,,
8-6-2020,9:59:59,608,,
8-6-2020,9:59:59,611,,
8-6-2020,9:59:59,604,,
8-6-2020,9:59:59,605,,
8-6-2020,10:0:0,606,,
8-6-2020,10:0:0,607,,
8-6-2020,10:0:0,610,,
8-6-2020,10:0:0,611,,
8-6-2020,10:0:0,616,,
8-6-2020,10:0:0,613,,
8-6-2020,10:0:0,606,,
8-6-2020,10:0:0,572,,
8-6-2020,10:0:0,566,,
8-6-2020,10:0:0,561,,
8-6-2020,10:0:0,564,,
