date,time,accel_Z,accel_Y,accel_X
3-22-2021,14:27:56,96,-26,164
3-22-2021,14:27:56,48,-55,120
3-22-2021,14:27:56,58,-48,128
3-22-2021,14:27:56,-31525,-13897,-68
3-22-2021,14:27:57,-62,-173,2
3-22-2021,14:27:57,-38,-161,17
3-22-2021,14:27:57,-63,-174,0
3-22-2021,14:27:57,-61,-170,-5
3-22-2021,14:27:57,-40,-156,18
3-22-2021,14:27:58,-45,-155,16
3-22-2021,14:27:58,-47,-107,29
3-22-2021,14:27:58,-62,-77,22
3-22-2021,14:27:58,-30,-39,56
3-22-2021,14:27:58,-93,-137,-21
3-22-2021,14:27:59,44,-91,99
3-22-2021,14:27:59,-65,-174,4
