date,time,accel_Z,accel_Y,accel_X
3-22-2021,14:42:1,54,63,57
3-22-2021,14:42:1,-13,8,-19
3-22-2021,14:42:1,-7,14,-11
3-22-2021,14:42:1,-3,21,-8
3-22-2021,14:42:1,-6,14,-11
3-22-2021,14:42:2,-1,21,-6
3-22-2021,14:42:2,-5,16,-11
3-22-2021,14:42:2,-5,17,-8
3-22-2021,14:42:2,-6,15,-7
3-22-2021,14:42:2,-1,19,-4
3-22-2021,14:42:2,-6,14,-9
3-22-2021,14:42:3,4,25,2
3-22-2021,14:42:3,-11,13,-10
3-22-2021,14:42:3,-5,16,-3
3-22-2021,14:42:3,-6,18,-3
3-22-2021,14:42:3,-14,10,-11
3-22-2021,14:42:3,-6,18,-3
3-22-2021,14:42:4,-28,0,-26
3-22-2021,14:42:4,-15,10,-13
3-22-2021,14:42:4,-5,17,-9
3-22-2021,14:42:4,-19,5,-19
3-22-2021,14:42:4,-8,15,-8
3-22-2021,14:42:5,-41,56,-19
3-22-2021,14:42:5,0,90,-2
3-22-2021,14:42:5,-8,85,-5
3-22-2021,14:42:5,-16,76,-14
3-22-2021,14:42:5,-1,72,0
3-22-2021,14:42:6,29,30,43
3-22-2021,14:42:6,12,30,5
3-22-2021,14:42:6,5,22,2
3-22-2021,14:42:6,-5,13,0
3-22-2021,14:42:7,-13,6,-11
3-22-2021,14:42:7,-11,9,-11
3-22-2021,14:42:7,-2,15,0
3-22-2021,14:42:7,5,22,7
3-22-2021,14:42:8,-9,6,-7
3-22-2021,14:42:8,-6,13,-7
3-22-2021,14:42:8,-12,9,-14
3-22-2021,14:42:8,-15,7,-14
3-22-2021,14:42:9,65,74,63
3-22-2021,14:42:9,-47,-22,-49
3-22-2021,14:42:9,0,18,-1
3-22-2021,14:42:9,3,22,6
3-22-2021,14:42:9,-18,4,-19
3-22-2021,14:42:10,-18,6,-14
3-22-2021,14:42:10,-7,15,-3
