date,time,accel_Z,accel_Y,accel_X
3-22-2021,15:17:50,43,-73,2
3-22-2021,15:17:50,45,-72,2
3-22-2021,15:17:51,43,-73,2
3-22-2021,15:17:51,42,-74,2
3-22-2021,15:17:51,41,-73,1
3-22-2021,15:17:51,41,-74,1
3-22-2021,15:17:51,41,-75,1
3-22-2021,15:17:52,43,-73,2
3-22-2021,15:17:52,42,-74,2
3-22-2021,15:17:52,44,-72,1
3-22-2021,15:17:52,42,-73,2
3-22-2021,15:17:52,37,-76,-1
3-22-2021,15:17:53,39,-74,3
3-22-2021,15:17:53,48,-62,-26
3-22-2021,15:17:53,68,-92,-121
3-22-2021,15:17:53,64,-290,-10
3-22-2021,15:17:54,143,-120,-302
3-22-2021,15:17:54,144,27,-185
3-22-2021,15:17:54,108,-26,52
3-22-2021,15:17:54,36,-81,5
3-22-2021,15:17:55,30,-84,-5
3-22-2021,15:17:55,18,-95,-13
3-22-2021,15:17:55,32,-84,-1
3-22-2021,15:17:56,27,-87,-3
3-22-2021,15:17:56,31,-85,-1
3-22-2021,15:17:56,27,-87,-3
3-22-2021,15:17:57,32,-84,-2
3-22-2021,15:17:57,23,-89,-6
3-22-2021,15:17:57,41,-75,2
3-22-2021,15:17:58,27,-85,-6
3-22-2021,15:17:58,31,-85,-18
3-22-2021,15:17:58,65,-90,-78
3-22-2021,15:17:59,131,-256,-90
3-22-2021,15:17:59,139,-74,-214
3-22-2021,15:17:59,89,-160,-133
3-22-2021,15:18:0,30,-81,-40
3-22-2021,15:18:0,19,-100,-5
3-22-2021,15:18:1,16,-102,5
3-22-2021,15:18:1,38,-81,0
3-22-2021,15:18:1,33,-83,-12
3-22-2021,15:18:2,36,-85,8
3-22-2021,15:18:2,31,-92,8
3-22-2021,15:18:3,32,-93,2
3-22-2021,15:18:3,33,-93,9
3-22-2021,15:18:3,37,-93,10
3-22-2021,15:18:4,36,-93,8
3-22-2021,15:18:4,35,-93,9
3-22-2021,15:18:5,37,-91,9
3-22-2021,15:18:5,33,-93,5
