date,time,accel_Z,accel_Y,accel_X
3-22-2021,15:3:0,97,123,-46
3-22-2021,15:3:1,18,58,-106
3-22-2021,15:3:1,41,69,-84
3-22-2021,15:3:1,61,91,-65
3-22-2021,15:3:1,78,108,-65
3-22-2021,15:3:2,159,241,-203
3-22-2021,15:3:2,122,-189,-111
3-22-2021,15:3:2,421,-162,-316
3-22-2021,15:3:2,49,176,-161
3-22-2021,15:3:3,25,-389,-461
3-22-2021,15:3:3,129,43,-224
3-22-2021,15:3:3,139,-20,-146
3-22-2021,15:3:4,30,-144,95
3-22-2021,15:3:4,-86,203,-284
3-22-2021,15:3:4,70,70,-47
3-22-2021,15:3:5,85,109,-52
3-22-2021,15:3:5,91,113,-43
3-22-2021,15:3:5,98,115,-41
3-22-2021,15:3:6,74,104,-63
