date,time,accel_Z,accel_Y,accel_X
3-22-2021,15:28:22,56,-17,-4
3-22-2021,15:28:23,34,-48,-7
3-22-2021,15:28:23,35,-49,-4
3-22-2021,15:28:23,132,36,57
3-22-2021,15:28:23,44,-42,1
3-22-2021,15:28:23,60,-28,9
3-22-2021,15:28:23,47,-41,5
3-22-2021,15:28:24,61,-27,7
3-22-2021,15:28:24,55,-34,11
3-22-2021,15:28:24,38,-48,-7
3-22-2021,15:28:24,61,-29,8
3-22-2021,15:28:24,31,-54,-13
3-22-2021,15:28:25,78,-18,21
3-22-2021,15:28:25,58,-31,6
3-22-2021,15:28:25,43,-42,-3
3-22-2021,15:28:25,63,-30,14
3-22-2021,15:28:25,46,-41,0
3-22-2021,15:28:26,67,-24,18
3-22-2021,15:28:26,48,-34,7
3-22-2021,15:28:26,49,-36,9
3-22-2021,15:28:26,55,-33,11
3-22-2021,15:28:26,50,-34,4
3-22-2021,15:28:27,76,-20,20
3-22-2021,15:28:27,124,30,52
3-22-2021,15:28:27,54,-35,4
3-22-2021,15:28:27,42,-49,-5
3-22-2021,15:28:28,36,-51,-6
3-22-2021,15:28:28,35,-50,-3
3-22-2021,15:28:28,46,-41,5
3-22-2021,15:28:28,50,-37,10
3-22-2021,15:28:28,46,-38,9
3-22-2021,15:28:29,50,-38,17
3-22-2021,15:28:29,51,-36,7
3-22-2021,15:28:29,118,34,34
3-22-2021,15:28:29,135,45,-59
3-22-2021,15:28:30,66,-82,-143
3-22-2021,15:28:30,-108,-8,-201
3-22-2021,15:28:30,-185,-84,4
3-22-2021,15:28:30,-87,-131,82
3-22-2021,15:28:31,-39,-114,109
3-22-2021,15:28:31,50,138,-37
3-22-2021,15:28:31,71,-204,-3
3-22-2021,15:28:32,-43,251,-231
3-22-2021,15:28:32,40,-82,-18
3-22-2021,15:28:32,54,-39,12
3-22-2021,15:28:32,49,-37,2
3-22-2021,15:28:33,67,-25,22
3-22-2021,15:28:33,60,-34,16
3-22-2021,15:28:33,51,-40,9
3-22-2021,15:28:34,56,-36,12
3-22-2021,15:28:34,55,-39,15
3-22-2021,15:28:34,59,-32,15
3-22-2021,15:28:34,53,-34,5
3-22-2021,15:28:35,53,-34,9
3-22-2021,15:28:35,57,-34,12
3-22-2021,15:28:35,47,-41,4
3-22-2021,15:28:35,55,-34,10
3-22-2021,15:28:36,56,-33,10
3-22-2021,15:28:36,51,-35,8
3-22-2021,15:28:36,79,-11,25
3-22-2021,15:28:37,52,-34,6
3-22-2021,15:28:37,51,-35,6
3-22-2021,15:28:37,55,-31,7
