date,time,accel_Z,accel_Y,accel_X
3-22-2021,15:55:21,51,-37,7
3-22-2021,15:55:21,47,-41,3
3-22-2021,15:55:21,55,-36,8
3-22-2021,15:55:21,55,-35,11
3-22-2021,15:55:22,55,-34,10
3-22-2021,15:55:22,51,-38,8
3-22-2021,15:55:22,55,-34,9
3-22-2021,15:55:22,48,-42,0
3-22-2021,15:55:22,63,-32,17
3-22-2021,15:55:22,65,-30,19
3-22-2021,15:55:23,54,-37,10
3-22-2021,15:55:23,60,-33,19
3-22-2021,15:55:23,191,-22,113
3-22-2021,15:55:23,26,19,-56
3-22-2021,15:55:23,39,-37,1
3-22-2021,15:55:23,39,-34,-1
3-22-2021,15:55:24,43,-31,4
3-22-2021,15:55:24,39,-35,1
3-22-2021,15:55:24,38,-34,-1
3-22-2021,15:55:24,39,-34,-2
3-22-2021,15:55:24,38,-35,-2
3-22-2021,15:55:25,33,-39,-5
3-22-2021,15:55:25,38,-35,-1
3-22-2021,15:55:25,39,-36,-1
3-22-2021,15:55:25,38,-33,-3
3-22-2021,15:55:26,36,-37,-3
3-22-2021,15:55:26,40,-37,1
3-22-2021,15:55:26,37,-35,-4
3-22-2021,15:55:26,32,-43,-5
3-22-2021,15:55:26,32,-43,-7
3-22-2021,15:55:27,41,-36,2
3-22-2021,15:55:27,44,-32,5
3-22-2021,15:55:27,39,-34,-3
3-22-2021,15:55:27,42,-34,1
3-22-2021,15:55:27,35,-41,-4
3-22-2021,15:55:28,52,-24,10
3-22-2021,15:55:28,35,-41,-3
3-22-2021,15:55:28,40,-34,0
3-22-2021,15:55:28,38,-33,-3
3-22-2021,15:55:29,41,-35,0
3-22-2021,15:55:29,40,-36,-2
3-22-2021,15:55:29,35,-38,-5
3-22-2021,15:55:29,52,-27,9
3-22-2021,15:55:30,40,-35,-1
