date,time,accel_Z,accel_Y,accel_X
3-22-2021,13:59:53,6,-99,-11
3-22-2021,13:59:53,7,-100,-12
3-22-2021,13:59:54,8,-99,-11
3-22-2021,13:59:54,8,-98,-10
3-22-2021,13:59:54,8,-99,-11
3-22-2021,13:59:54,8,-98,-10
3-22-2021,13:59:54,8,-99,-11
3-22-2021,13:59:54,8,-98,-10
3-22-2021,13:59:55,7,-99,-10
3-22-2021,13:59:55,7,-99,-11
3-22-2021,13:59:55,8,-99,-11
3-22-2021,13:59:55,8,-98,-10
3-22-2021,13:59:55,7,-99,-11
3-22-2021,13:59:55,7,-99,-11
3-22-2021,13:59:56,8,-98,-9
3-22-2021,13:59:56,9,-97,-9
3-22-2021,13:59:56,-8,-113,-23
3-22-2021,13:59:56,13,-100,-9
3-22-2021,13:59:56,8,-109,-17
3-22-2021,13:59:56,24,-104,-1
3-22-2021,13:59:57,31,-105,7
3-22-2021,13:59:57,44,-99,21
3-22-2021,13:59:57,129,-39,93
3-22-2021,13:59:57,16,-114,1
3-22-2021,13:59:57,11,-97,3
3-22-2021,13:59:58,69,-52,36
3-22-2021,13:59:59,70,-41,26
3-22-2021,13:59:59,70,-43,22
3-22-2021,13:59:59,72,-45,31
3-22-2021,13:59:59,16,-85,-13
3-22-2021,14:0:0,14,-85,-17
3-22-2021,14:0:0,17,-85,-12
3-22-2021,14:0:0,17,-85,-12
3-22-2021,14:0:0,15,-85,-15
3-22-2021,14:0:0,15,-86,-13
3-22-2021,14:0:1,15,-85,-14
3-22-2021,14:0:1,15,-85,-14
3-22-2021,14:0:1,17,-84,-12
3-22-2021,14:0:1,14,-85,-15
3-22-2021,14:0:1,16,-85,-13
3-22-2021,14:0:2,16,-85,-14
3-22-2021,14:0:2,16,-85,-13
3-22-2021,14:0:2,16,-85,-14
3-22-2021,14:0:2,15,-85,-14
3-22-2021,14:0:2,15,-85,-13
3-22-2021,14:0:3,16,-85,-13
3-22-2021,14:0:3,16,-85,-13
3-22-2021,14:0:3,15,-85,-13
3-22-2021,14:0:3,16,-85,-13
3-22-2021,14:0:4,15,-85,-13
3-22-2021,14:0:4,16,-85,-14
3-22-2021,14:0:4,15,-85,-13
3-22-2021,14:0:4,14,-86,-14
3-22-2021,14:0:4,16,-85,-13
3-22-2021,14:0:5,16,-84,-13
3-22-2021,14:0:5,16,-84,-13
3-22-2021,14:0:5,16,-84,-12
3-22-2021,14:0:5,17,-84,-12
3-22-2021,14:0:5,16,-84,-13
3-22-2021,14:0:6,15,-85,-13
3-22-2021,14:0:6,16,-85,-12
3-22-2021,14:0:6,15,-85,-14
3-22-2021,14:0:6,14,-86,-14
3-22-2021,14:0:6,16,-85,-14
3-22-2021,14:0:7,17,-84,-12
3-22-2021,14:0:7,74,-39,30
3-22-2021,14:0:7,73,-41,28
