date,time,accel_Z,accel_Y,accel_X
3-22-2021,15:3:29,94,118,-51
3-22-2021,15:3:30,61,97,-72
3-22-2021,15:3:30,84,112,-51
3-22-2021,15:3:30,78,113,-47
3-22-2021,15:3:30,83,116,-76
3-22-2021,15:3:31,299,187,-480
3-22-2021,15:3:31,-13,161,-203
3-22-2021,15:3:31,177,-160,-267
3-22-2021,15:3:32,-29,-347,-81
3-22-2021,15:3:32,64,249,-70
3-22-2021,15:3:32,-107,554,329
3-22-2021,15:3:32,87,4,-289
3-22-2021,15:3:33,57,-98,-179
3-22-2021,15:3:33,58,-51,-134
3-22-2021,15:3:34,140,-13,-452
3-22-2021,15:3:34,49,86,-100
3-22-2021,15:3:34,100,110,-25
3-22-2021,15:3:35,97,117,-29
3-22-2021,15:3:35,104,121,-35
3-22-2021,15:3:35,87,122,-42
3-22-2021,15:3:36,76,101,-58
3-22-2021,15:3:36,90,111,-50
3-22-2021,15:3:37,84,110,-58
3-22-2021,15:3:37,62,93,-67
3-22-2021,15:3:37,77,108,-57
3-22-2021,15:3:38,76,113,-53
3-22-2021,15:3:38,75,109,-57
3-22-2021,15:3:39,63,97,-68
