date,time,accel_Z,accel_Y,accel_X
3-22-2021,16:35:56,83,-5,26
3-22-2021,16:35:56,11,-70,-23
3-22-2021,16:35:56,40,-41,-5
3-22-2021,16:35:56,17,-57,-24
3-22-2021,16:35:57,54,-31,10
3-22-2021,16:35:57,51,-35,5
3-22-2021,16:35:57,56,-30,9
3-22-2021,16:35:57,54,-36,11
3-22-2021,16:35:58,57,-32,10
3-22-2021,16:35:58,54,-36,8
3-22-2021,16:35:58,54,-35,7
3-22-2021,16:35:58,57,-33,8
3-22-2021,16:35:59,89,1,30
3-22-2021,16:35:59,75,-12,16
3-22-2021,16:35:59,39,-39,-1
3-22-2021,16:36:0,26,-49,-10
3-22-2021,16:36:0,33,-42,-4
3-22-2021,16:36:0,28,-52,-17
3-22-2021,16:36:0,-9,-80,-37
3-22-2021,16:36:1,-10,-84,-42
3-22-2021,16:36:1,83,-30,13
3-22-2021,16:36:1,29,-56,-21
3-22-2021,16:36:2,116,23,-10
3-22-2021,16:36:2,-82,-536,-3
3-22-2021,16:36:2,124,-3,-418
3-22-2021,16:36:3,-33,97,-326
3-22-2021,16:36:3,50,29,-106
3-22-2021,16:36:3,7,-86,7
3-22-2021,16:36:4,38,-55,-9
3-22-2021,16:36:4,-28,-135,-13
3-22-2021,16:36:4,101,0,6
3-22-2021,16:36:5,15,-75,-42
3-22-2021,16:36:5,57,-51,10
3-22-2021,16:36:5,32,-67,-16
3-22-2021,16:36:6,69,-32,13
3-22-2021,16:36:6,61,-44,9
3-22-2021,16:36:6,40,-53,-13
3-22-2021,16:36:7,54,-48,11
3-22-2021,16:36:7,46,-55,7
3-22-2021,16:36:8,74,-25,18
3-22-2021,16:36:8,113,2,48
3-22-2021,16:36:8,73,-44,-11
3-22-2021,16:36:9,201,7,-134
3-22-2021,16:36:9,-136,-520,-422
3-22-2021,16:36:9,-122,-304,-99
3-22-2021,16:36:10,-20,-31,-82
3-22-2021,16:36:10,-40,-90,-70
3-22-2021,16:36:10,13,-62,-21
3-22-2021,16:36:11,-20,-98,-49
3-22-2021,16:36:11,124,24,54
3-22-2021,16:36:12,45,-39,-1
3-22-2021,16:36:12,47,-39,0
3-22-2021,16:36:12,123,27,54
3-22-2021,16:36:13,131,32,58
3-22-2021,16:36:13,50,-38,2
3-22-2021,16:36:13,42,-46,-4
3-22-2021,16:36:14,60,-28,12
3-22-2021,16:36:14,-177,-205,-314
3-22-2021,16:36:15,194,188,84
3-22-2021,16:36:15,361,78,194
3-22-2021,16:36:15,91,5,53
3-22-2021,16:36:16,40,-43,3
3-22-2021,16:36:16,26,-58,-12
3-22-2021,16:36:16,-6,-80,-37
3-22-2021,16:36:17,32,-48,-8
3-22-2021,16:36:17,23,-58,-15
3-22-2021,16:36:18,12,-64,-20
3-22-2021,16:36:18,19,-55,-15
3-22-2021,16:36:18,9,-71,-24
3-22-2021,16:36:19,12,-62,-23
3-22-2021,16:36:19,38,-39,4
3-22-2021,16:36:19,38,-40,-5
3-22-2021,16:36:20,64,-31,6
3-22-2021,16:36:20,442,-284,51
3-22-2021,16:36:21,-128,57,-5
3-22-2021,16:36:21,-217,-198,-125
3-22-2021,16:36:21,206,-265,-248
3-22-2021,16:36:22,-11,-71,-68
3-22-2021,16:36:22,97,2,33
3-22-2021,16:36:22,43,-40,0
3-22-2021,16:36:23,60,-25,12
3-22-2021,16:36:23,43,-34,0
3-22-2021,16:36:24,29,-48,-11
3-22-2021,16:36:24,39,-37,0
3-22-2021,16:36:24,13,-65,-23
3-22-2021,16:36:25,43,-84,-43
3-22-2021,16:36:25,-21,-103,-74
3-22-2021,16:36:25,155,-58,-188
3-22-2021,16:36:26,171,182,-69
3-22-2021,16:36:26,99,-10,-303
3-22-2021,16:36:27,80,-228,-407
3-22-2021,16:36:27,-50,-293,-148
3-22-2021,16:36:27,-81,-466,-64
3-22-2021,16:36:28,234,-539,101
3-22-2021,16:36:28,464,-338,-136
3-22-2021,16:36:28,359,55,-174
3-22-2021,16:36:28,-23,-174,-241
3-22-2021,16:36:29,23,-430,-261
3-22-2021,16:36:29,69,-72,-10
3-22-2021,16:36:29,93,-20,26
3-22-2021,16:36:29,56,-50,6
3-22-2021,16:36:30,115,-11,49
3-22-2021,16:36:30,86,-43,25
3-22-2021,16:36:30,44,-70,-13
3-22-2021,16:36:30,-28,-167,-86
3-22-2021,16:36:31,-165,-217,-127
3-22-2021,16:36:31,-77,-212,-87
3-22-2021,16:36:31,9,-87,-133
3-22-2021,16:36:32,-120,1,-72
3-22-2021,16:36:32,-48,-106,-29
