date,time,accel_Z,accel_Y,accel_X
3-22-2021,16:6:32,97,5,32
3-22-2021,16:6:32,38,-44,-5
3-22-2021,16:6:32,0,-84,-34
3-22-2021,16:6:32,-58,-91,-62
3-22-2021,16:6:33,11,-43,-32
3-22-2021,16:6:33,473,-148,-389
3-22-2021,16:6:33,220,-73,-424
3-22-2021,16:6:33,308,-140,-416
3-22-2021,16:6:33,70,-376,-292
3-22-2021,16:6:33,-46,-160,-424
3-22-2021,16:6:34,-130,-303,-330
3-22-2021,16:6:34,-160,-400,-149
3-22-2021,16:6:34,-1,-353,-237
3-22-2021,16:6:34,176,-137,-232
3-22-2021,16:6:34,153,-162,-310
3-22-2021,16:6:35,71,-222,-391
3-22-2021,16:6:35,19,-223,-321
3-22-2021,16:6:35,-75,-55,-402
3-22-2021,16:6:35,-42,20,-305
3-22-2021,16:6:35,-31,-335,-238
3-22-2021,16:6:36,-279,-409,-85
3-22-2021,16:6:36,-75,-276,-136
3-22-2021,16:6:36,298,-288,-408
3-22-2021,16:6:36,84,-215,-368
3-22-2021,16:6:37,151,-62,-402
3-22-2021,16:6:37,-7,-150,-348
3-22-2021,16:6:37,-7,-129,-342
3-22-2021,16:6:37,38,10,-293
3-22-2021,16:6:38,-18,-308,-248
3-22-2021,16:6:38,-207,-429,-156
3-22-2021,16:6:38,101,-395,-260
3-22-2021,16:6:38,279,-206,-400
3-22-2021,16:6:39,76,-208,-360
3-22-2021,16:6:39,51,-195,-315
3-22-2021,16:6:39,-12,-40,-253
3-22-2021,16:6:39,-52,-14,-329
3-22-2021,16:6:40,-6,30,-266
3-22-2021,16:6:40,-6,-184,-311
3-22-2021,16:6:40,-113,-320,-152
3-22-2021,16:6:40,-90,-298,-111
3-22-2021,16:6:41,215,-226,-351
3-22-2021,16:6:41,104,-211,-288
3-22-2021,16:6:41,5,-122,-243
3-22-2021,16:6:41,14,-119,-301
3-22-2021,16:6:42,-19,-122,-303
3-22-2021,16:6:42,12,-108,-334
3-22-2021,16:6:42,19,-242,-288
3-22-2021,16:6:42,-157,-44,-142
3-22-2021,16:6:43,-369,-198,-151
3-22-2021,16:6:43,-255,8,49
3-22-2021,16:6:43,23,8,-2
3-22-2021,16:6:44,-8,72,43
3-22-2021,16:6:44,159,20,86
3-22-2021,16:6:44,56,-66,37
3-22-2021,16:6:44,40,-62,18
3-22-2021,16:6:45,51,-46,0
3-22-2021,16:6:45,38,-34,-32
3-22-2021,16:6:45,38,-41,3
3-22-2021,16:6:46,25,-34,-19
3-22-2021,16:6:46,39,-31,0
3-22-2021,16:6:46,34,-36,-6
3-22-2021,16:6:46,21,-49,-14
3-22-2021,16:6:47,37,-39,-3
3-22-2021,16:6:47,30,-41,-10
3-22-2021,16:6:47,35,-36,-5
3-22-2021,16:6:48,37,-36,-5
3-22-2021,16:6:48,35,-37,-4
3-22-2021,16:6:48,35,-37,-5
3-22-2021,16:6:48,33,-38,-5
3-22-2021,16:6:49,33,-38,-5
3-22-2021,16:6:49,35,-37,-4
3-22-2021,16:6:49,33,-38,-5
3-22-2021,16:6:50,32,-38,-5
3-22-2021,16:6:50,33,-39,-6
3-22-2021,16:6:50,35,-37,-5
3-22-2021,16:6:50,35,-38,-5
3-22-2021,16:6:51,35,-37,-4
3-22-2021,16:6:51,33,-38,-5
3-22-2021,16:6:51,39,-33,-1
