date,time,accel_Z,accel_Y,accel_X
3-22-2021,13:54:46,-26,-45,-1
3-22-2021,13:54:46,-25,-43,-2
3-22-2021,13:54:46,-26,-43,-3
3-22-2021,13:54:47,-19,-34,-6
3-22-2021,13:54:47,-17,-32,-7
3-22-2021,13:54:47,-14,-28,-4
3-22-2021,13:54:47,-11,-25,-6
3-22-2021,13:54:47,-6,-19,-5
3-22-2021,13:54:47,-10,-22,-8
3-22-2021,13:54:48,-8,-20,-4
3-22-2021,13:54:48,-6,-18,-7
3-22-2021,13:54:48,-3,-15,-10
3-22-2021,13:54:48,-1,-13,-8
3-22-2021,13:54:48,0,-11,-8
3-22-2021,13:54:48,0,-10,-9
3-22-2021,13:54:49,1,-9,-9
3-22-2021,13:54:49,3,-7,-8
3-22-2021,13:54:49,3,-6,-7
3-22-2021,13:54:49,4,-6,-8
3-22-2021,13:54:49,4,-5,-9
3-22-2021,13:54:49,5,-4,-7
3-22-2021,13:54:50,7,-3,-9
3-22-2021,13:54:50,5,-3,-7
3-22-2021,13:54:50,9,0,-12
3-22-2021,13:54:50,8,-1,-5
3-22-2021,13:54:50,6,-2,-3
3-22-2021,13:54:51,8,0,-5
3-22-2021,13:54:51,9,0,-6
3-22-2021,13:54:51,9,1,-8
3-22-2021,13:54:51,8,1,-7
3-22-2021,13:54:51,8,0,-6
3-22-2021,13:54:51,7,0,-5
3-22-2021,13:54:52,7,-1,-6
3-22-2021,13:54:52,7,-1,-6
3-22-2021,13:54:52,5,-2,-8
3-22-2021,13:54:52,3,-5,-7
3-22-2021,13:54:52,5,-5,-8
3-22-2021,13:54:52,5,-5,-6
3-22-2021,13:54:53,-4,-13,-1
3-22-2021,13:54:53,-7,-15,0
3-22-2021,13:54:53,-7,-17,-3
3-22-2021,13:54:53,-7,-18,-4
3-22-2021,13:54:53,-8,-20,-2
3-22-2021,13:54:54,-7,-19,-6
3-22-2021,13:54:54,-5,-19,-2
3-22-2021,13:54:54,-7,-21,-2
3-22-2021,13:54:54,-9,-23,-4
3-22-2021,13:54:54,-11,-25,-2
3-22-2021,13:54:55,-11,-26,-1
3-22-2021,13:54:55,-18,-32,-3
3-22-2021,13:54:55,-17,-31,-8
3-22-2021,13:54:55,-31,-43,-10
3-22-2021,13:54:55,-36,-47,-9
3-22-2021,13:54:56,-37,-49,-9
3-22-2021,13:54:56,-37,-48,-7
3-22-2021,13:54:56,-43,-54,-6
3-22-2021,13:54:56,-40,-52,-5
3-22-2021,13:54:56,-40,-52,-1
3-22-2021,13:54:57,-27,-43,-4
3-22-2021,13:54:57,-37,-52,-6
3-22-2021,13:54:57,-50,-60,-6
3-22-2021,13:54:57,-49,-57,-5
3-22-2021,13:54:57,-30,-41,-3
3-22-2021,13:54:58,-38,-43,-5
3-22-2021,13:54:58,-55,-59,-2
3-22-2021,13:54:58,-29,-39,1
3-22-2021,13:54:58,-34,-42,-3
3-22-2021,13:54:59,-34,-43,-3
3-22-2021,13:54:59,-35,-43,-4
3-22-2021,13:54:59,-32,-40,-2
3-22-2021,13:54:59,-36,-44,-4
3-22-2021,13:54:59,-37,-46,-7
3-22-2021,13:55:0,-38,-46,-6
3-22-2021,13:55:0,-36,-44,-4
3-22-2021,13:55:0,-36,-43,-4
3-22-2021,13:55:0,-36,-44,-4
