date,time,accel_Z,accel_Y,accel_X
3-22-2021,14:59:59,60,90,-71
3-22-2021,15:0:0,59,89,-72
3-22-2021,15:0:0,45,78,-81
3-22-2021,15:0:0,45,79,-76
3-22-2021,15:0:0,55,88,-77
3-22-2021,15:0:1,81,108,-51
3-22-2021,15:0:1,89,116,-50
3-22-2021,15:0:1,87,117,-48
3-22-2021,15:0:1,79,113,-52
3-22-2021,15:0:1,84,106,-60
3-22-2021,15:0:2,79,199,-174
3-22-2021,15:0:2,74,97,-383
3-22-2021,15:0:2,220,84,-335
3-22-2021,15:0:3,328,-342,-373
3-22-2021,15:0:3,-94,22,-80
3-22-2021,15:0:3,64,192,-100
3-22-2021,15:0:4,-25,-75,-297
3-22-2021,15:0:4,99,-74,-180
3-22-2021,15:0:4,43,103,-45
3-22-2021,15:0:5,1,-116,16
3-22-2021,15:0:5,45,-78,-100
3-22-2021,15:0:5,84,153,-116
3-22-2021,15:0:6,75,113,-58
3-22-2021,15:0:6,86,111,-44
3-22-2021,15:0:7,84,114,-56
3-22-2021,15:0:7,99,120,-41
3-22-2021,15:0:7,77,104,-56
3-22-2021,15:0:8,87,111,-52
3-22-2021,15:0:8,98,122,-44
3-22-2021,15:0:9,138,168,8
3-22-2021,15:0:9,103,125,-40
3-22-2021,15:0:9,100,123,-46
3-22-2021,15:0:10,77,105,-60
3-22-2021,15:0:10,106,128,-41
3-22-2021,15:0:11,90,116,-51
3-22-2021,15:0:11,94,118,-49
